OBJECTID,INCNUM,YMD_TM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,STREET_N,STREET,STREET_T,STREET_G,CITY,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CIT_NUM,CIT_RACE,CIT_SEX,CIT_AGE,CIT_COND_TYPE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE,STATE,OCCURRED_WEEK_DAY,OCCURRED_HOUR,OCCURRED_QUARTER,OCCURRED_YEAR,"""INDOT"""
1038,4637,2014-09-08T18:46:00Z,2014-09-08,18:46:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,WASHINGTON,STREET,E,INDIANAPOLIS,TASER,FLEEING,CALL FOR SERVICE,YES,THEFT/RECEIVING STOLEN PROPERTY,UNREPORTED,YES,NO,NO,NO,1318,BLACK,MALE,22,LACERATION,2904,WHITE,MALE,26,5,UNREPORTED,IN,Mon,18,3,2014,INDOT
1056,12362,2016-02-02T11:41:00Z,2016-02-02,11:41:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,CANINE SECTION,CANINE UNIT - DAY,IN COMPLIANCE,4545,BOSART,STREET,N,INDIANAPOLIS,CANINE BITE,RESISTING ARREST,ARREST,YES,RESIDENTIAL ENTRY,UNREPORTED,YES,NO,NO,NO,1404,WHITE,MALE,26,CANINE BITE,2596,WHITE,MALE,49,21,UNREPORTED,IN,Tue,11,1,2016,INDOT
1059,4811,2014-09-20T23:55:00Z,2014-09-20,23:55:00:000,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,MERIDIAN,STREET,S,INDIANAPOLIS,PHYSICAL,ASSAULTING OFFICER(S),ARREST,YES,BATTERY F,UNREPORTED,YES,YES,NO,NO,1438,WHITE,MALE,27,UNREPORTED,170,WHITE,MALE,50,26,UNREPORTED,IN,Sat,23,3,2014,INDOT
1061,29671,2018-07-31T15:12:00Z,2018-07-31,15:12:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,EUGENE,STREET, ,INDIANAPOLIS,PHYSICAL,NON-COMPLIANT,ARREST,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,YES,NO,NO,1549,BLACK,MALE,38,NO INJURIES NOTED OR VISIBLE,3524,WHITE,MALE,29,2,NO INJURIES NOTED OR VISIBLE,IN,Tue,15,3,2018,INDOT
1066,40931,2019-09-18T01:50:00Z,2019-09-18,01:50:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,WASHINGTON,STREET,E,INDIANAPOLIS,PHYSICAL,RESISTING ARREST,ARREST,YES,PUBLIC INTOXICATION,UNREPORTED,YES,YES,NO,NO,1742,WHITE,MALE,58,DISLOCATED BONE,3238,WHITE,MALE,36,5,NO INJURIES NOTED OR VISIBLE,IN,Wed,1,3,2019,INDOT
1065,5266,2014-09-15T12:03:00Z,2014-09-15,12:03:00:000,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT DETECTIVE SECTION,DT DETECTIVE DAY SHIFT,IN COMPLIANCE,4545,WALNUT,NA,W,INDIANAPOLIS,PHYSICAL,ASSAULTING OFFICER(S),INVESTIGATION,YES,UNREPORTED,UNREPORTED,YES,YES,YES,YES,1742,WHITE,MALE,53,INTERNAL PAIN/DISCOMFORT,388,WHITE,MALE,35,13,MINOR BLEEDING,IN,Mon,12,3,2014,INDOT
1074,4257,2014-08-06T19:00:00Z,2014-08-06,19:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,SENATE,AVENUE,S,INDIANAPOLIS,TASER,RESISTING ARREST,INVESTIGATION,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,YES,NO,NO,1060,BLACK,MALE,27,TASER PROBE,1078,WHITE,MALE,46,19,NO INJURIES NOTED OR VISIBLE,IN,Wed,19,3,2014,INDOT
1075,5154,2014-10-14T12:30:00Z,2014-10-14,12:30:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY TACTICAL SHIFT,UNREPORTED,IN COMPLIANCE,4545,TOPAZ,DRIVE, ,INDIANAPOLIS,PHYSICAL,COMBATIVE SUSPECT,CALL FOR SERVICE,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,YES,YES,YES,1681,WHITE,MALE,45,NO INJURIES NOTED OR VISIBLE,564,WHITE,MALE,54,27,INTERNAL PAIN/DISCOMFORT,IN,Tue,12,4,2014,INDOT
1076,156,2014-01-01T14:21:00Z,2014-01-01,14:21:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,CANINE SECTION,CANINE UNIT - DAY TACTICAL,IN COMPLIANCE,4545,ROCKVILLE,ROAD, ,INDIANAPOLIS,CANINE BITE,UNREPORTED,UNREPORTED,YES,UNREPORTED,UNREPORTED,YES,YES,NO,NO,223,BLACK,MALE,14,UNREPORTED,2123,WHITE,MALE,46,14,UNREPORTED,IN,Wed,14,1,2014,INDOT
1080,23634,2017-10-21T22:15:00Z,2017-10-21,22:15:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,38TH,STREET,E,INDIANAPOLIS,PHYSICAL,NON-COMPLIANT,ARREST,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,YES,NO,NO,1025,BLACK,MALE,56,NO INJURIES NOTED OR VISIBLE,3468,WHITE,MALE,24,1,NO INJURIES NOTED OR VISIBLE,IN,Sat,22,4,2017,INDOT
1085,4669,2014-09-09T16:00:00Z,2014-09-09,16:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY TACTICAL SHIFT,UNREPORTED,IN COMPLIANCE,4545,TIBBS,AVENUE,N,INDIANAPOLIS,TASER,NON-COMPLIANT,INVESTIGATION,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,NO,NO,NO,1333,BLACK,MALE,27,NO INJURIES NOTED OR VISIBLE,1334,WHITE,MALE,40,15,NO INJURIES NOTED OR VISIBLE,IN,Tue,16,3,2014,INDOT
1087,4706,2014-09-12T09:35:00Z,2014-09-12,09:35:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,IN COMPLIANCE,4545,36TH,STREET,W,INDIANAPOLIS,TASER,FLEEING,ARREST,YES,RESISTING LAW ENFORCEMENT F,UNREPORTED,NO,NO,YES,NO,1352,BI-RACIAL,MALE,24,NO INJURIES NOTED OR VISIBLE,4,WHITE,MALE,36,13,BACK STRAIN,IN,Fri,9,3,2014,INDOT
1088,5089,2014-10-08T22:00:00Z,2014-10-08,22:00:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,MOLLER,ROAD, ,INDIANAPOLIS,PERSONAL CS/OC SPRAY,ASSAULTING OFFICER(S),ARREST,YES,BATTERY F,UNREPORTED,NO,NO,NO,NO,1607,BI-RACIAL,MALE,26,UNREPORTED,2845,WHITE,MALE,30,5,UNREPORTED,IN,Wed,22,4,2014,INDOT
1094,5109,2014-10-10T17:29:00Z,2014-10-10,17:29:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,32ND,STREET,W,INDIANAPOLIS,PHYSICAL,NON-COMPLIANT,ARREST,YES,POSSESSION OF FIREARM,UNREPORTED,NO,NO,NO,NO,1625,BLACK,MALE,36,NO INJURIES NOTED OR VISIBLE,2510,WHITE,MALE,30,6,UNREPORTED,IN,Fri,17,4,2014,INDOT
1097,4258,2014-08-06T18:56:00Z,2014-08-06,18:56:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,SENATE,AVENUE,S,INDIANAPOLIS,TASER,COMBATIVE SUSPECT,CALL FOR SERVICE,YES,UNREPORTED,UNREPORTED,YES,NO,NO,NO,1060,BLACK,MALE,27,MINOR BLEEDING,2983,WHITE,MALE,33,4,UNREPORTED,IN,Wed,18,3,2014,INDOT
1098,32079,2018-11-16T19:00:00Z,2018-11-16,19:00:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,11TH,STREET,E,INDIANAPOLIS,PHYSICAL,COMBATIVE SUSPECT,ARREST,YES,DOMESTIC BATTERY F,UNREPORTED,NO,NO,YES,NO,1061,BLACK,MALE,29,NO INJURIES NOTED OR VISIBLE,3629,WHITE,MALE,27,1,UNREPORTED,IN,Fri,19,4,2018,INDOT
1102,4280,2014-08-09T15:30:00Z,2014-08-09,15:30:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,MADISON,AVENUE, ,INDIANAPOLIS,JOINT MANIPULATION,RESISTING ARREST,CALL FOR SERVICE,YES,RESISTING LAW ENFORCEMENT F,UNREPORTED,NO,NO,YES,NO,1076,BI-RACIAL,FEMALE,38,NO INJURIES NOTED OR VISIBLE,3098,WHITE,MALE,28,6,UNREPORTED,IN,Sat,15,3,2014,INDOT
1109,5203,2014-10-20T23:04:00Z,2014-10-20,23:04:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,38TH,STREET,W,INDIANAPOLIS,TASER,FLEEING,ARREST,YES,UNREPORTED,UNREPORTED,NO,NO,NO,NO,1716,BLACK,MALE,20,UNREPORTED,1376,WHITE,MALE,37,12,UNREPORTED,IN,Mon,23,4,2014,INDOT
1107,5155,2014-10-12T15:00:00Z,2014-10-12,15:00:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,SHERMAN,AVENUE,S,INDIANAPOLIS,TASER,ASSAULTING CITIZEN(S),ARREST,YES,BATTERY M,UNREPORTED,NO,NO,NO,NO,1682,WHITE,MALE,52,NO INJURIES NOTED OR VISIBLE,1890,WHITE,MALE,37,8,UNREPORTED,IN,Sun,15,4,2014,INDOT
1110,38257,2019-07-05T04:20:00Z,2019-07-05,04:20:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,RENFREW,DRIVE,E,INDIANAPOLIS,PHYSICAL,COMBATIVE SUSPECT,CALL FOR SERVICE,NO,IMMEDIATE DETENTION,UNREPORTED,NO,YES,NO,NO,1739,BLACK,MALE,25,NO INJURIES NOTED OR VISIBLE,1457,WHITE,MALE,41,18,NO INJURIES NOTED OR VISIBLE,IN,Fri,4,3,2019,INDOT
1111,5291,2014-10-25T21:20:00Z,2014-10-25,21:20:00:000,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,IN COMPLIANCE,4545,MARYLAND,STREET,W,INDIANAPOLIS,PHYSICAL,RESISTING ARREST,ARREST,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,NO,NO,NO,1764,WHITE,MALE,19,NO INJURIES NOTED OR VISIBLE,2544,BLACK,MALE,32,6,UNREPORTED,IN,Sat,21,4,2014,INDOT
1113,5361,2014-10-30T20:00:00Z,2014-10-30,20:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,WESTMORE,DRIVE, ,INDIANAPOLIS,JOINT MANIPULATION,NON-COMPLIANT,INVESTIGATION,NO,IMMEDIATE DETENTION,UNREPORTED,YES,YES,NO,NO,1816,WHITE,MALE,15,INTERNAL PAIN/DISCOMFORT,2701,WHITE,MALE,46,18,UNREPORTED,IN,Thu,20,4,2014,INDOT
1115,19887,2017-03-18T21:35:00Z,2017-03-18,21:35:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,HAUGH,STREET, ,INDIANAPOLIS,Taser,NON-COMPLIANT,ARREST,YES,INTIMIDATION,UNREPORTED,NO,YES,NO,NO,1387,WHITE,MALE,44,MINOR BLEEDING,2472,WHITE,FEMALE,36,9,UNREPORTED,IN,Sat,21,1,2017,INDOT
1117,4762,2014-09-17T20:00:00Z,2014-09-17,20:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,WASHINGTON,STREET,W,INDIANAPOLIS,PHYSICAL,NON-COMPLIANT,ARREST,YES,CRIMINAL RECKLESSNESS,UNREPORTED,YES,YES,NO,NO,1403,WHITE,MALE,29,CANINE BITE,3066,WHITE,MALE,28,2,UNREPORTED,IN,Wed,20,3,2014,INDOT
1119,19555,2017-03-02T05:17:00Z,2017-03-02,05:17:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,10TH,STREET,E,INDIANAPOLIS,Taser,FLEEING,ARREST,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,NO,NO,NO,1091,BLACK,MALE,23,UNREPORTED,1645,BLACK,MALE,43,16,UNREPORTED,IN,Thu,5,1,2017,INDOT
1120,4293,2014-08-10T20:30:00Z,2014-08-10,20:30:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,OLIVER,STREET,W,INDIANAPOLIS,TASER,ASSAULTING OFFICER(S),TRAFFIC STOP,YES,UNREPORTED,UNREPORTED,YES,NO,YES,NO,1093,BLACK,MALE,27,LACERATION,3066,WHITE,MALE,28,2,UNREPORTED,IN,Sun,20,3,2014,INDOT
1124,22423,2017-08-03T14:19:00Z,2017-08-03,14:19:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,LAFAYETTE,ROAD, ,INDIANAPOLIS,PHYSICAL,COMBATIVE SUSPECT,ARREST,YES,CRIMINAL TRESPASS,UNREPORTED,NO,NO,NO,NO,1607,BI-RACIAL,MALE,29,MINOR SCRAPES,3234,WHITE,MALE,36,3,UNREPORTED,IN,Thu,14,3,2017,INDOT
1125,35019,2019-03-20T00:56:00Z,2019-03-20,00:56:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,CANINE SECTION,CANINE UNIT - LATE,IN COMPLIANCE,4545,GERRARD,AVENUE, ,INDIANAPOLIS,CANINE BITE,FLEEING,REQUEST FOR PSD,YES,DOMESTIC BATTERY F,UNREPORTED,YES,YES,NO,NO,1641,BLACK,MALE,31,CANINE BITE,3019,WHITE,MALE,33,9,UNREPORTED,IN,Wed,0,1,2019,INDOT
1132,4294,2014-08-10T02:36:00Z,2014-08-10,02:36:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,SHADELAND,AVENUE,N,INDIANAPOLIS,TASER,FLEEING,WARRANT SERVICE,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,YES,YES,NO,NO,1094,WHITE,MALE,25,LACERATION,2967,WHITE,MALE,29,5,UNREPORTED,IN,Sun,2,3,2014,INDOT
1134,4355,2014-08-16T03:10:00Z,2014-08-16,03:10:00:000,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,IN COMPLIANCE,4545,MERIDIAN,STREET,S,INDIANAPOLIS,TASER,COMBATIVE SUSPECT,ARREST,YES,BATTERY F,UNREPORTED,NO,NO,YES,NO,1127,WHITE,MALE,22,UNREPORTED,2843,WHITE,MALE,34,7,ABRASIONS,IN,Sat,3,3,2014,INDOT
1137,4370,2014-08-17T23:10:00Z,2014-08-17,23:10:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,CARROLLTON,AVENUE,N,INDIANAPOLIS,HANDCUFFING,RESISTING ARREST,ARREST,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,NO,NO,NO,1141,WHITE,FEMALE,44,NO INJURIES NOTED OR VISIBLE,2467,WHITE,MALE,37,7,NO INJURIES NOTED OR VISIBLE,IN,Sun,23,3,2014,INDOT
1138,4399,2014-08-20T08:00:00Z,2014-08-20,08:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,IN COMPLIANCE,4545,HARDING,AVENUE,S,INDIANAPOLIS,PHYSICAL,NON-COMPLIANT,TRAFFIC STOP,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,NO,NO,NO,1158,WHITE,MALE,35,NO INJURIES NOTED OR VISIBLE,636,WHITE,MALE,40,15,NO INJURIES NOTED OR VISIBLE,IN,Wed,8,3,2014,INDOT
1144,4511,2014-09-01T20:43:00Z,2014-09-01,20:43:00:000,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,MILITARY LEAVE,IN COMPLIANCE,4545,DEARBORN,STREET,N,INDIANAPOLIS,BODY WEIGHT LEVERAGE,RESISTING ARREST,CALL FOR SERVICE,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,NO,NO,NO,NO,1260,WHITE,FEMALE,29,UNREPORTED,3057,WHITE,MALE,28,2,UNREPORTED,IN,Mon,20,3,2014,INDOT
1153,19886,2017-03-18T18:49:00Z,2017-03-18,18:49:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,25TH,STREET,E,INDIANAPOLIS,PHYSICAL,RESISTING ARREST,ARREST,YES,RESISTING LAW ENFORCEMENT F,UNREPORTED,YES,YES,YES,NO,1236,BLACK,MALE,999999,COMPLAINT OF PAIN,862,OTHER,MALE,53,28,UNREPORTED,IN,Sat,18,1,2017,INDOT
1168,4605,2014-09-04T22:05:00Z,2014-09-04,22:05:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,FOXBRIAR,PLACE, ,INDIANAPOLIS,PERSONAL CS/OC SPRAY,ASSAULTING OFFICER(S),ARREST,YES,BATTERY F,UNREPORTED,YES,NO,YES,NO,1301,BLACK,MALE,46,MINOR BLEEDING,1559,WHITE,MALE,38,11,INTERNAL PAIN/DISCOMFORT,IN,Thu,22,3,2014,INDOT
1213,41251,2019-09-26T12:45:00Z,2019-09-26,12:45:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,IN COMPLIANCE,4545,COMMODORE,STREET, ,INDIANAPOLIS,HANDCUFFING,NON-COMPLIANT,CALL FOR SERVICE,NO,UNREPORTED,UNREPORTED,NO,NO,NO,NO,163,BLACK,MALE,32,UNREPORTED,423,WHITE,MALE,999999,0,UNREPORTED,IN,Thu,12,3,2019,INDOT
1214,38398,2019-07-09T15:03:00Z,2019-07-09,15:03:00:000,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,CAPITOL,AVENUE,S,INDIANAPOLIS,PHYSICAL,NON-COMPLIANT,ARREST,YES,UNREPORTED,UNREPORTED,NO,NO,NO,NO,300,WHITE,FEMALE,31,UNREPORTED,3702,WHITE,MALE,30,1,UNREPORTED,IN,Tue,15,3,2019,INDOT
1215,21560,2017-06-25T02:11:00Z,2017-06-25,02:11:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,LOUISIANA,STREET,W,INDIANAPOLIS,SMOKE GRENADE/TEAR GAS/FLASH BANG,NON-COMPLIANT,ERG INCIDENT,NO,UNREPORTED,UNREPORTED,NO,NO,NO,NO,883,WHITE,MALE,999999,UNREPORTED,1520,WHITE,MALE,39,14,UNREPORTED,IN,Sun,2,2,2017,INDOT
1216,4272,2014-08-08T09:08:00Z,2014-08-08,09:08:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT 2ND RC,IN COMPLIANCE,4545,CARDINAL FLOWER,DRIVE, ,INDIANAPOLIS,PERSONAL CS/OC SPRAY,NON-COMPLIANT,CALL FOR SERVICE,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,YES,YES,NO,NO,1069,BLACK,MALE,33,ABRASSION,2182,WHITE,MALE,47,12,NO INJURIES NOTED OR VISIBLE,IN,Fri,9,3,2014,INDOT
1218,4273,2014-08-08T09:08:00Z,2014-08-08,09:08:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT 2ND RC,IN COMPLIANCE,4545,CARDINAL FLOWER,COURT, ,INDIANAPOLIS,PERSONAL CS/OC SPRAY,NON-COMPLIANT,ASSISTING A CITIZEN,YES,RESISTING LAW ENFORCEMENT M,UNREPORTED,YES,YES,NO,NO,1069,BLACK,MALE,33,ABRASION,2182,WHITE,MALE,47,12,UNREPORTED,IN,Fri,9,3,2014,INDOT
