OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_YEAR,OCCURRED_MONTH,OCCURRED_DAY,OCCURRED_TM,OCCURRED_HOUR,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,CIT_RACE,CIT_SEX,CIT_AGE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM,OCCURRED_DATE_AND_TIME
3015,30645,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-21,2018,8,21,19:00:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Neglect of Duty,"Failure to make and turn in all reports promptly, accurately, and completely in conformity with department orders.",Unfounded,Incident Location,201,Shadeland,Avenue,N,Indianapolis,18079,White,Female,62,1378,White,Male,40,16,18-738,2018-08-21T23:00:00Z
3016,30645,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-21,2018,8,21,19:00:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting language",Unfounded,Incident Location,201,Shadeland,Avenue,N,Indianapolis,18079,White,Female,62,3629,White,Male,27,1,18-738,2018-08-21T23:00:00Z
3017,30645,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-21,2018,8,21,19:00:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Neglect of Duty,"Failure to make and turn in all reports promptly, accurately, and completely in conformity with department orders.",Unfounded,Incident Location,201,Shadeland,Avenue,N,Indianapolis,18079,White,Female,62,3629,White,Male,27,1,18-738,2018-08-21T23:00:00Z
3018,30684,Citizen Complaint,Unreported,CPCO (Informal),2018-09-03,2018,9,3,01:02:03:004,1,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,HIT/RUN INVESTIGATIONS UNIT,Unreported,Unreported,Unreported,Incident Location,Online/Phone,Online/Phone,Online/Phone,Online/Phone,Online/Phone,18108,Unreported,Female,121,2912,White,Female,37,8,18-739,2018-09-03T05:02:03Z
3019,30688,Citizen Complaint,Unreported,CPCO (Informal),2018-09-10,2018,9,10,12:00:00:000,12,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,Vehicle Operation,Unreported,Not Sustained,Incident Location,NA,Stop 11,Road,W,Indianapolis,18109,Unreported,Female,121,2260,White,Male,49,18,18-740,2018-09-10T16:00:00Z
3020,30761,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-09,2018,7,9,22:54:00:000,22,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,1109,Miley,Avenue,N,Indianapolis,18164,Black,Female,72,3470,White,Male,31,2,18-051,2018-07-10T02:54:00Z
3021,30761,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-09,2018,7,9,22:54:00:000,22,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,Unreported,Neglect of Duty,Failure to take prompt action when observing wrongful/negligent behavior,Not Sustained,Incident Location,1109,Miley,Avenue,N,Indianapolis,18164,Black,Female,72,3503,Black,Female,29,2,18-051,2018-07-10T02:54:00Z
3022,30765,Citizen Complaint,Call For Service,CPCO (Formal),2018-08-02,2018,8,2,11:54:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,255,Shortdridge,Road,N,Indianapolis,18165,Black,Female,52,2438,White,Male,54,19,18-052,2018-08-02T15:54:00Z
3023,30765,Citizen Complaint,Call For Service,CPCO (Formal),2018-08-02,2018,8,2,11:54:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,Failure to perform duties which maintain satisfactory standards of efficiency/objectives of department.,Exonerated,Incident Location,255,Shortdridge,Road,N,Indianapolis,18165,Black,Female,52,2438,White,Male,54,19,18-052,2018-08-02T15:54:00Z
3024,30771,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-18,2018,8,18,02:30:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,Unreported,Use of Force,Members shall not use more force than reasonably necessary,Sustained,Incident Location,6447,Washington,Street,W,Indianapolis,18169,Black,Female,34,1148,White,Female,39,17,18-741,2018-08-18T06:30:00Z
3025,30771,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-18,2018,8,18,02:30:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,Unreported,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Sustained,Incident Location,6447,Washington,Street,W,Indianapolis,18169,Black,Female,34,1148,White,Female,39,17,18-741,2018-08-18T06:30:00Z
3026,30771,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-18,2018,8,18,02:30:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,Unreported,Neglect of Duty,"Failure to make and turn in all reports promptly, accurately, and completely in conformity with department orders.",Sustained,Incident Location,6447,Washington,Street,W,Indianapolis,18169,Black,Female,34,1148,White,Female,39,17,18-741,2018-08-18T06:30:00Z
3027,30885,Citizen Complaint,Unreported,CPCO (Formal),2018-08-30,2018,8,30,02:00:00:000,2,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT MIDDLE SHIFT,Unreported,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and sops",Sustained,Incident Location,2797,Armaugh,Drive,NA,Indianapolis,18245,White,Female,25,2343,Hispanic,Male,54,22,18-050,2018-08-30T06:00:00Z
3028,30885,Citizen Complaint,Unreported,CPCO (Formal),2018-08-30,2018,8,30,02:00:00:000,2,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT MIDDLE SHIFT,Unreported,Breach of Discipline,Failure to keep depatment information confidential,Sustained,Incident Location,2797,Armaugh,Drive,NA,Indianapolis,18245,White,Female,25,2343,Hispanic,Male,54,22,18-050,2018-08-30T06:00:00Z
3029,30885,Citizen Complaint,Unreported,CPCO (Formal),2018-08-30,2018,8,30,02:00:00:000,2,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT MIDDLE SHIFT,Unreported,Info. Security/Access,"Access of official business, records or data of the department for personal purposes",Sustained,Incident Location,2797,Armaugh,Drive,NA,Indianapolis,18245,White,Female,25,2343,Hispanic,Male,54,22,18-050,2018-08-30T06:00:00Z
3030,31004,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-28,2018,6,28,05:44:00:000,5,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,1527,12th,Street,East,Indianapolis,18267,White,Female,26,284,White,Male,50,23,18-053,2018-06-28T09:44:00Z
3031,31004,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-28,2018,6,28,05:44:00:000,5,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting gestures",Exonerated,Incident Location,1527,12th,Street,East,Indianapolis,18267,White,Female,26,284,White,Male,50,23,18-053,2018-06-28T09:44:00Z
3032,31004,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-28,2018,6,28,05:44:00:000,5,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,Failure to perform duties which maintain satisfactory standards of efficiency/objectives of department.,Exonerated,Incident Location,1527,12th,Street,East,Indianapolis,18267,White,Female,26,284,White,Male,50,23,18-053,2018-06-28T09:44:00Z
3033,31004,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-28,2018,6,28,05:44:00:000,5,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,1527,12th,Street,East,Indianapolis,18267,White,Female,26,1319,White,Male,58,34,18-053,2018-06-28T09:44:00Z
3034,31004,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-28,2018,6,28,05:44:00:000,5,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting gestures",Exonerated,Incident Location,1527,12th,Street,East,Indianapolis,18267,White,Female,26,1319,White,Male,58,34,18-053,2018-06-28T09:44:00Z
3035,31004,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-28,2018,6,28,05:44:00:000,5,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Substandard Performance,Failure to perform duties which maintain satisfactory standards of efficiency/objectives of department.,Exonerated,Incident Location,1527,12th,Street,East,Indianapolis,18267,White,Female,26,1319,White,Male,58,34,18-053,2018-06-28T09:44:00Z
3036,31008,Citizen Complaint,Call For Service,CPCO (Formal),2018-08-05,2018,8,5,22:05:00:000,22,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,3151,Gale,Street,NA,Indianapolis,18272,Black,Male,50,3418,Black,Male,29,2,18-054,2018-08-06T02:05:00Z
3037,31008,Citizen Complaint,Call For Service,CPCO (Formal),2018-08-05,2018,8,5,22:05:00:000,22,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,Unreported,Citizen Interaction,Failure to make a report when approached by a citizen,Exonerated,Incident Location,3151,Gale,Street,NA,Indianapolis,18272,Black,Male,50,3418,Black,Male,29,2,18-054,2018-08-06T02:05:00Z
3038,31024,Citizen Complaint,Traffic Stop,CPCO (Informal),2017-10-17,2017,10,17,14:34:00:000,14,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Neglect of Duty,"Failure to make and turn in all reports promptly, accurately, and completely in conformity with department orders.",Exonerated,Incident Location,7700,Fall Creek,Rd,,Indianapolis,18280,White,Female,34,3405,White,Male,31,2,18-742,2017-10-17T18:34:00Z
3039,31024,Citizen Complaint,Traffic Stop,CPCO (Informal),2017-10-17,2017,10,17,14:34:00:000,14,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Unreported,Unreported,Exonerated,Incident Location,7700,Fall Creek,Rd,,Indianapolis,18280,White,Female,34,3405,White,Male,31,2,18-742,2017-10-17T18:34:00Z
3040,31024,Citizen Complaint,Traffic Stop,CPCO (Informal),2017-10-17,2017,10,17,14:34:00:000,14,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,Unreported,Unreported,Unreported,Exonerated,Incident Location,7700,Fall Creek,Rd,,Indianapolis,18280,White,Female,34,3405,White,Male,31,2,18-742,2017-10-17T18:34:00Z
3041,31026,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-23,2018,7,23,04:02:00:000,4,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,16TH RECRUIT CLASS,Citizen Interaction,Failure to make a report when approached by a citizen,Exonerated,Incident Location,2474,Bond,Street,NA,Indianapolis,18282,Black,Male,33,3554,Other,Male,24,1,18-055,2018-07-23T08:02:00Z
3042,31026,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-23,2018,7,23,04:02:00:000,4,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,16TH RECRUIT CLASS,Citizen Interaction,Intimidation/improper display of police authority,Exonerated,Incident Location,2474,Bond,Street,NA,Indianapolis,18282,Black,Male,33,3554,Other,Male,24,1,18-055,2018-07-23T08:02:00Z
3043,31026,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-23,2018,7,23,04:02:00:000,4,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,16TH RECRUIT CLASS,Unreported,Unreported,Exonerated,Incident Location,2474,Bond,Street,NA,Indianapolis,18282,Black,Male,33,751,White,Male,44,19,18-055,2018-07-23T08:02:00Z
3044,31026,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-23,2018,7,23,04:02:00:000,4,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,16TH RECRUIT CLASS,Citizen Interaction,Intimidation/improper display of police authority,Exonerated,Incident Location,2474,Bond,Street,NA,Indianapolis,18282,Black,Male,33,751,White,Male,44,19,18-055,2018-07-23T08:02:00Z
3045,31026,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-23,2018,7,23,04:02:00:000,4,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,16TH RECRUIT CLASS,Citizen Interaction,Intimidation/improper display of police authority,Exonerated,Incident Location,2474,Bond,Street,NA,Indianapolis,18282,Black,Male,33,1954,White,Male,40,15,18-055,2018-07-23T08:02:00Z
3046,31026,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-23,2018,7,23,04:02:00:000,4,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,16TH RECRUIT CLASS,Citizen Interaction,Intimidation/improper display of police authority,Exonerated,Incident Location,2474,Bond,Street,NA,Indianapolis,18282,Black,Male,33,3723,Black,Female,25,Unreported,18-055,2018-07-23T08:02:00Z
3047,31028,Citizen Complaint,Traffic Stop,CPCO (Formal),2018-07-23,2018,7,23,01:56:00:000,1,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,LIMITED DUTY - IOD,Unreported,Unreported,Exonerated,Incident Location,7500,Rockville,Road,NA,Indianapolis,18283,White,Male,37,2553,White,Male,41,10,18-056,2018-07-23T05:56:00Z
3048,31028,Citizen Complaint,Traffic Stop,CPCO (Formal),2018-07-23,2018,7,23,01:56:00:000,1,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,LIMITED DUTY - IOD,Use of Force,Members shall not use more force than reasonably necessary,Exonerated,Incident Location,7500,Rockville,Road,NA,Indianapolis,18283,White,Male,37,2553,White,Male,41,10,18-056,2018-07-23T05:56:00Z
3049,31028,Citizen Complaint,Traffic Stop,CPCO (Formal),2018-07-23,2018,7,23,01:56:00:000,1,OTHER ASSIGNMENTS,TEMPORARY ASSIGNMENTS,MANPOWER POOL,LIMITED DUTY - IOD,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,7500,Rockville,Road,NA,Indianapolis,18283,White,Male,37,2553,White,Male,41,10,18-056,2018-07-23T05:56:00Z
3050,31579,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-27,2018,6,27,17:10:00:000,17,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting gestures",Exonerated,Incident Location,268,Rural,Street,S,Indianapolis,18550,Black,Male,55,3505,White,Male,23,2,18-059,2018-06-27T21:10:00Z
3051,31579,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-27,2018,6,27,17:10:00:000,17,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,Unreported,Prisoner Handling/Trans.,Mistreatment of person in custody,Exonerated,Incident Location,268,Rural,Street,S,Indianapolis,18550,Black,Male,55,3505,White,Male,23,2,18-059,2018-06-27T21:10:00Z
3052,31579,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-27,2018,6,27,17:10:00:000,17,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting gestures",Exonerated,Incident Location,268,Rural,Street,S,Indianapolis,18550,Black,Male,55,2523,White,Male,44,10,18-059,2018-06-27T21:10:00Z
3053,31579,Citizen Complaint,Call For Service,CPCO (Formal),2018-06-27,2018,6,27,17:10:00:000,17,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,Unreported,Prisoner Handling/Trans.,Mistreatment of person in custody,Exonerated,Incident Location,268,Rural,Street,S,Indianapolis,18550,Black,Male,55,2523,White,Male,44,10,18-059,2018-06-27T21:10:00Z
3054,31594,Citizen Complaint,Call For Service,CPCO (Formal),2018-07-27,2018,7,27,12:37:00:000,12,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND AGG ASSAULT,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT UNIT,Unreported,Unreported,Exonerated,Incident Location,1701,Senate,Blvd,N,Indianapolis,18557,Black,Female,21,3034,White,Male,33,8,18-057,2018-07-27T16:37:00Z
3055,31604,Citizen Complaint,Unreported,CPCO (Formal),2018-07-26,2018,7,26,18:00:00:000,18,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting gestures",Exonerated,Incident Location,2822,Martin Luther King Jr.,Street,NA,Indianapolis,18564,Black,Female,73,3067,Black,Male,35,6,18-063,2018-07-26T22:00:00Z
3056,31604,Citizen Complaint,Unreported,CPCO (Formal),2018-07-26,2018,7,26,18:00:00:000,18,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and sops while off duty",Exonerated,Incident Location,2822,Martin Luther King Jr.,Street,NA,Indianapolis,18564,Black,Female,73,3067,Black,Male,35,6,18-063,2018-07-26T22:00:00Z
3057,31619,Citizen Complaint,Unreported,CPCO (Formal),2018-08-18,2018,8,18,11:40:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting gestures",Exonerated,Incident Location,3808,Washington,Street,E,Indianapolis,18580,White,Male,44,580,White,Female,41,16,18-067,2018-08-18T15:40:00Z
3058,31619,Citizen Complaint,Unreported,CPCO (Formal),2018-08-18,2018,8,18,11:40:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Unreported,Unreported,Exonerated,Incident Location,3808,Washington,Street,E,Indianapolis,18580,White,Male,44,2596,White,Male,51,24,18-067,2018-08-18T15:40:00Z
3059,31619,Citizen Complaint,Unreported,CPCO (Formal),2018-08-18,2018,8,18,11:40:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Unreported,Unreported,Exonerated,Incident Location,3808,Washington,Street,E,Indianapolis,18580,White,Male,44,2596,White,Male,51,24,18-067,2018-08-18T15:40:00Z
3060,31619,Citizen Complaint,Unreported,CPCO (Formal),2018-08-18,2018,8,18,11:40:00:000,11,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,3808,Washington,Street,E,Indianapolis,18580,White,Male,44,2596,White,Male,51,24,18-067,2018-08-18T15:40:00Z
3061,31745,Citizen Complaint,Unreported,CPCO (Formal),2018-06-30,2018,6,30,02:07:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,247,Meridian,Street,S,Indianapolis,18667,Black,Male,27,3012,White,Male,33,8,18-058,2018-06-30T06:07:00Z
3062,31745,Citizen Complaint,Unreported,CPCO (Formal),2018-06-30,2018,6,30,02:07:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Use of Force,Officers shall not mistreat persons who are in thier custody,Not Sustained,Incident Location,247,Meridian,Street,S,Indianapolis,18667,Black,Male,27,3012,White,Male,33,8,18-058,2018-06-30T06:07:00Z
3063,31745,Citizen Complaint,Unreported,CPCO (Formal),2018-06-30,2018,6,30,02:07:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Unreported,Unreported,Exonerated,Incident Location,247,Meridian,Street,S,Indianapolis,18667,Black,Male,27,3012,White,Male,33,8,18-058,2018-06-30T06:07:00Z
3064,31745,Citizen Complaint,Unreported,CPCO (Formal),2018-06-30,2018,6,30,02:07:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,247,Meridian,Street,S,Indianapolis,18667,Black,Male,27,1361,White,Male,40,16,18-058,2018-06-30T06:07:00Z
3065,31745,Citizen Complaint,Unreported,CPCO (Formal),2018-06-30,2018,6,30,02:07:00:000,2,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Neglect of Duty,"Failure to make and turn in all reports promptly, accurately, and completely in conformity with department orders.",Exonerated,Incident Location,247,Meridian,Street,S,Indianapolis,18667,Black,Male,27,1361,White,Male,40,16,18-058,2018-06-30T06:07:00Z
3066,31758,Citizen Complaint,Traffic Stop,CPCO (Formal),2018-10-07,2018,10,7,02:42:00:000,2,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,Unreported,Citizen Interaction,Indecent or lewd language,Exonerated,Incident Location,1936,Sharon,Avenue,NA,Indianapolis,18675,Black,Male,25,3031,White,Female,41,8,18-078,2018-10-07T06:42:00Z
