OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
127213,191,BURG-FORCIBLE ENT-RES DAY,2019-01-05T00:00:00.000Z,09:59,I190001643A,5101 MASSACHUSETTS AVE,NE33,211152.7,1661956.49
127214,191,BURG-FORCIBLE ENT-RES DAY,2019-01-05T00:00:00.000Z,11:12,I190001652A,5320 BURGESS AVE,NE42,212262.81,1644816.25
127215,191,BURG-FORCIBLE ENT-RES DAY,2019-01-05T00:00:00.000Z,13:33,I190001705A,208 N TRAUB AVE,SW11,179311.26,1646918.56
127216,191,BURG-FORCIBLE ENT-RES DAY,2019-01-06T00:00:00.000Z,06:29,I190001942A,1409 HOEFGEN ST,SE22,196196.2,1633374.75
127217,191,BURG-FORCIBLE ENT-RES DAY,2019-01-06T00:00:00.000Z,10:55,I190004534A,28 N GLADSTONE AVE,NE41,207257.09,1647338.06
127218,191,BURG-FORCIBLE ENT-RES DAY,2019-01-06T00:00:00.000Z,11:00,I190002347A,807 N CALIFORNIA ST,DT11,187021.69,1650434.83
127219,191,BURG-FORCIBLE ENT-RES DAY,2019-01-06T00:00:00.000Z,12:30,I190002049A,112 N ARSENAL AVE,NE22,196836.3,1646721.51
127220,191,BURG-FORCIBLE ENT-RES DAY,2019-01-06T00:00:00.000Z,17:00,I190002162A,7614 WILLIAM PENN PL,ND63,231266.75,1691738.85
127221,191,BURG-FORCIBLE ENT-RES DAY,2019-01-07T00:00:00.000Z,07:52,I190002246A,2379 ADAMS ST,NE12,203841.44,1658920.09
127222,191,BURG-FORCIBLE ENT-RES DAY,2019-01-07T00:00:00.000Z,10:29,I190002317A,440 W 40TH ST,ND11,187502.52,1668672.82
127223,191,BURG-FORCIBLE ENT-RES DAY,2019-01-07T00:00:00.000Z,10:38,I190002308A,2510 E MINNESOTA ST,SE22,200667.53,1638220.02
127224,191,BURG-FORCIBLE ENT-RES DAY,2019-01-07T00:00:00.000Z,12:00,I190003701A,2354 E TERRACE AVE,SE22,200199.86,1639609.91
127225,191,BURG-FORCIBLE ENT-RES DAY,2019-01-07T00:00:00.000Z,12:25,I190002353A,2740 WORTHAM WAY,ND52,175974.82,1690711.47
127226,191,BURG-FORCIBLE ENT-RES DAY,2019-01-07T00:00:00.000Z,14:10,I190002397A,5126 PIKE VIEW DR,NW53,164833.12,1685825.85
127227,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,07:00,I190002919A,7183 EAGLE LAKE CT,NW42,153752.03,1670024.26
127228,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,07:25,I190002983A,7129 TWIN OAKS DR,NE33,222113.13,1666199.58
127229,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,07:27,I190002684A,5120 W 38TH ST,NW31,165016.76,1667123.74
127230,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,07:45,I190002901A,5826 BIG OAK DR,NW52,165641.59,1679869.24
127231,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,10:36,I190002758A,2935 S KENMORE RD,SE14,218373.25,1630879.69
127232,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,11:20,I190002768A,2454 WHEELER ST,NE12,202537.98,1659343.46
127233,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,11:27,I190002764A,28 N DEARBORN ST,NE23,203201.57,1647110.98
127234,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,13:00,I190002996A,3520 LORRAIN RD,ND42,204225.06,1676157.95
127235,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,13:00,I190004248A,4244 WINTHROP AVE,ND13,194751.04,1670473.47
127236,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,13:20,I190002933A,2106 BRAEBURN E DR,NE61,228689.95,1656973.37
127237,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,13:32,I190002849A,5210 E SOUTHERN AVE,SE14,212072.37,1634221.42
127238,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,13:51,I190002852A,8855 MALAGA DR,ND62,211627.31,1700166.88
127239,191,BURG-FORCIBLE ENT-RES DAY,2019-01-08T00:00:00.000Z,15:00,I190002975A,659 W 30TH ST,NW13,186283.33,1661883.94
127240,191,BURG-FORCIBLE ENT-RES DAY,2019-01-09T00:00:00.000Z,09:00,I190003420A,3452 N BANCROFT ST,ND23,210463.31,1665264.05
127241,191,BURG-FORCIBLE ENT-RES DAY,2019-01-09T00:00:00.000Z,13:30,I190003259A,645 S WORTH AVE,SW21,162794.75,1642587.42
127242,191,BURG-FORCIBLE ENT-RES DAY,2019-01-10T00:00:00.000Z,07:00,I190003545A,5729 WYCKFIELD WAY,ND42,214656.59,1686295.72
127243,191,BURG-FORCIBLE ENT-RES DAY,2019-01-10T00:00:00.000Z,11:00,I190003684A,494 S SOMERSET AVE,SW21,172005.99,1643430.68
127244,191,BURG-FORCIBLE ENT-RES DAY,2019-01-10T00:00:00.000Z,12:00,I190005492A,6029 N MERIDIAN ST,ND41,190600.35,1681534.62
127245,191,BURG-FORCIBLE ENT-RES DAY,2019-01-10T00:00:00.000Z,14:00,I190003620A,3006 EASTERN AVE,ND22,201142.55,1662181.09
127246,191,BURG-FORCIBLE ENT-RES DAY,2019-01-10T00:00:00.000Z,15:00,I190004074A,1333 SADDLEBROOK CT E,ND51,183253.95,1682096.86
127247,191,BURG-FORCIBLE ENT-RES DAY,2019-01-10T00:00:00.000Z,16:00,I190003813A,8856 LAKE NORA E DR,ND53,194912.07,1700706.59
127248,191,BURG-FORCIBLE ENT-RES DAY,2019-01-11T00:00:00.000Z,09:00,I190004334A,1931 N HARDING ST,NW11,181842.72,1656078.2
127249,191,BURG-FORCIBLE ENT-RES DAY,2019-01-11T00:00:00.000Z,13:47,I190004037A,48 PORT O CALL DR,SW21,160958.71,1646273.21
127250,191,BURG-FORCIBLE ENT-RES DAY,2019-01-11T00:00:00.000Z,16:33,I190004094A,4106 ASBURY ST,SE24,198175.1,1624115.07
127251,191,BURG-FORCIBLE ENT-RES DAY,2019-01-11T00:00:00.000Z,17:00,I190004310A,1914 ORANGE ST,SE12,198616.38,1640000.52
127252,191,BURG-FORCIBLE ENT-RES DAY,2019-01-11T00:00:00.000Z,17:00,I190004821A,40 S ARLINGTON AVE,NE42,216271.96,1647139.59
127253,191,BURG-FORCIBLE ENT-RES DAY,2019-01-12T00:00:00.000Z,10:52,I190004313A,3908 CAMPBELL AVE,ND31,215802.52,1668236.28
127254,191,BURG-FORCIBLE ENT-RES DAY,2019-01-12T00:00:00.000Z,11:00,I190005264A,8945 CLASSIC VIEW DR,SW52,188040.1,1598535.34
127255,191,BURG-FORCIBLE ENT-RES DAY,2019-01-12T00:00:00.000Z,12:31,I190004336A,7375 MARINER WAY,NW41,153120.75,1662833.22
127256,191,BURG-FORCIBLE ENT-RES DAY,2019-01-12T00:00:00.000Z,14:52,I190004379A,1334 E NAOMI ST,SE22,196213.49,1637342.41
127257,191,BURG-FORCIBLE ENT-RES DAY,2019-01-13T00:00:00.000Z,10:59,I190004552A,13 MEDINA DR,SE23,189835.27,1623489.23
127258,191,BURG-FORCIBLE ENT-RES DAY,2019-01-13T00:00:00.000Z,13:07,I190004581A,8851 COLBY BLVD,ND52,174355.08,1700301.2
127259,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,07:30,I190005027A,3056 S HOLT RD,SW23,170901.33,1628776.36
127260,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,09:00,I190004796A,3141 ISLAND CLUB CIR,NW41,151124.85,1662673.72
127261,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,09:00,I190005566A,318 LANSDOWNE RD,SW31,144788.36,1647578.2
127262,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,09:56,I190004830A,608 S TEMPLE AVE,SE12,200891.43,1643042.39
127263,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,14:38,I190006528A,8806 TWAIN LN,SE42,231185.49,1618195.8
127264,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,15:00,I190005006A,4555 BROOKVILLE RD,SE13,208329.45,1644957.26
127265,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,15:14,I190005364A,1139 BATES ST,SE11,195456.6,1644590.12
127266,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,15:30,I190004948A,1116 CHATFIELD DR,ND42,195301.01,1681662.91
127267,191,BURG-FORCIBLE ENT-RES DAY,2019-01-14T00:00:00.000Z,17:13,I190005012A,2929 CLIFFVIEW PL,NW41,155215.76,1661462.11
127268,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,06:33,I190005454A,3905 FOREST MANOR AVE,ND23,207068.86,1668280.03
127269,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,10:04,I190005209A,3604 WINGATE TER,NE53,238597.52,1666327.92
127270,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,10:15,I190005216A,6706 OAK LAKE DR,NW42,156363.6,1661951.91
127271,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,10:30,I190005276A,2491 N KITLEY AVE,NE32,219058.23,1659353.11
127272,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,10:30,I190005337A,10135 MEADOWLARK DR,NE52,237777.94,1671446.35
127273,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,11:12,I190005636A,4202 W MOORESVILLE RD,SW23,168499.71,1626723.16
127274,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,11:51,I190005244A,4137 ARCADIA ST,NW22,169278.53,1663002.39
127275,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,13:20,I190005415A,10221 BARIBEAU LN,NE62,238527.86,1658451.65
127276,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,15:32,I190005348A,1808 N WARMAN AVE,NW21,176347.74,1654752.12
127277,191,BURG-FORCIBLE ENT-RES DAY,2019-01-15T00:00:00.000Z,17:15,I190005397A,4402 CLAYBURN DR,NW62,168594.04,1695188.45
127278,191,BURG-FORCIBLE ENT-RES DAY,2019-01-16T00:00:00.000Z,09:30,I190005833A,4139 ORCHARD VALLEY LN,NE52,241160.18,1670066.48
127282,191,BURG-FORCIBLE ENT-RES DAY,2019-01-17T00:00:00.000Z,08:15,I190006130A,4052 CADDY WAY,NW62,169927.42,1689887.43
127279,191,BURG-FORCIBLE ENT-RES DAY,2019-01-16T00:00:00.000Z,12:17,I190006480A,3409 DELMAR AVE,SW21,173454.79,1642390.47
127280,191,BURG-FORCIBLE ENT-RES DAY,2019-01-16T00:00:00.000Z,17:00,I190006524A,2008 E MINNESOTA ST,SE22,198964.86,1638232
127281,191,BURG-FORCIBLE ENT-RES DAY,2019-01-16T00:00:00.000Z,17:02,I190005761A,6928 E 42ND ST,ND31,221027.43,1670241.55
127283,191,BURG-FORCIBLE ENT-RES DAY,2019-01-17T00:00:00.000Z,10:50,I190006017A,10654 GATHERING DR,SE43,240644.14,1603658.21
127284,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,07:59,I190006367A,1 E 36TH ST,ND13,190541.77,1665839.24
127285,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,10:57,I190008839A,2921 N SHERMAN DR,NE31,205754.98,1661570.81
127286,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,11:50,I190007702A,1061 W 28TH ST,NW12,183877.74,1660507.91
127287,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,12:00,I190006615A,3012 BAVARIAN W DR,NE53,237994.98,1662592.12
127288,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,12:07,I190006489A,4607 SANTA CRUZ DR,NW62,167767.95,1692478.64
127289,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,13:31,I190009187A,5009 35TH TERRACE W,NW31,165248.26,1664772.94
127290,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,15:00,I190006669A,1012 S BILTMORE AVE,SW21,163263.63,1641257.62
127291,191,BURG-FORCIBLE ENT-RES DAY,2019-01-18T00:00:00.000Z,15:49,I190006583A,430 E 49TH ST,ND41,192137.08,1673812.32
127292,191,BURG-FORCIBLE ENT-RES DAY,2019-01-19T00:00:00.000Z,11:00,I190006981A,554 W 29TH ST,NW13,186680.11,1661359.03
127293,191,BURG-FORCIBLE ENT-RES DAY,2019-01-19T00:00:00.000Z,11:12,I190006828A,1336 N KEALING AVE,NE21,205154.62,1652901
127294,191,BURG-FORCIBLE ENT-RES DAY,2019-01-19T00:00:00.000Z,14:59,I190006911A,3735 N COLLEGE AVE,ND13,193828.42,1666964.6
127295,191,BURG-FORCIBLE ENT-RES DAY,2019-01-19T00:00:00.000Z,17:00,I190007322A,3000 ORCHARD TER,ND21,198445.34,1662575.18
127296,191,BURG-FORCIBLE ENT-RES DAY,2019-01-20T00:00:00.000Z,11:26,I190007099A,433 S WARMAN AVE,SW11,176427.45,1643778.59
127297,191,BURG-FORCIBLE ENT-RES DAY,2019-01-20T00:00:00.000Z,12:00,I190008517A,5385 SOUTHEASTERN AVE,SE14,212704.65,1636806.71
127298,191,BURG-FORCIBLE ENT-RES DAY,2019-01-20T00:00:00.000Z,13:26,I190007154A,758 EDGEMONT AVE,NW12,185993.28,1659033.55
127299,191,BURG-FORCIBLE ENT-RES DAY,2019-01-21T00:00:00.000Z,06:00,I190007400A,1523 S EMERSON AVE,SE14,211176.98,1638826.3
127300,191,BURG-FORCIBLE ENT-RES DAY,2019-01-21T00:00:00.000Z,07:00,I190007457A,9326 SHENANDOAH CT,NE62,233664.55,1655810.18
127301,191,BURG-FORCIBLE ENT-RES DAY,2019-01-22T00:00:00.000Z,06:00,I190007830A,2260 HARBOR DR,NE62,235701.04,1658263.83
127302,191,BURG-FORCIBLE ENT-RES DAY,2019-01-22T00:00:00.000Z,08:00,I190007654A,2302 W 66TH ST,ND51,178109.62,1686469.85
127303,191,BURG-FORCIBLE ENT-RES DAY,2019-01-22T00:00:00.000Z,13:49,I190007727A,6832 E 42ND ST,ND31,220473.95,1670249.24
127304,191,BURG-FORCIBLE ENT-RES DAY,2019-01-22T00:00:00.000Z,14:30,I190008609A,4106 ASBURY ST,SE24,198175.1,1624115.07
127305,191,BURG-FORCIBLE ENT-RES DAY,2019-01-22T00:00:00.000Z,17:25,I190007811A,3635 CELTIC DR,NE51,233387.15,1666467.64
127306,191,BURG-FORCIBLE ENT-RES DAY,2019-01-23T00:00:00.000Z,07:00,I190008119A,4420 W 30TH ST,NW22,168265.96,1661870.9
127307,191,BURG-FORCIBLE ENT-RES DAY,2019-01-23T00:00:00.000Z,11:33,I190008058A,1009 VILLA AVE,SE12,198665.45,1641432.76
127308,191,BURG-FORCIBLE ENT-RES DAY,2019-01-23T00:00:00.000Z,14:00,I190008228A,5350 BUDGE LN,NE32,212858.45,1657276.9
127309,191,BURG-FORCIBLE ENT-RES DAY,2019-01-23T00:00:00.000Z,15:30,I190008422A,530 E 52ND ST,ND41,192601.77,1675347.01
127310,191,BURG-FORCIBLE ENT-RES DAY,2019-01-23T00:00:00.000Z,16:00,I180142578B,400 N CHESTER AV,NE41,206651.91,1648462.92
127311,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,06:21,I190008367A,5732 WILKINS ST,SW21,160835.04,1641187.16
127312,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,09:50,I190008546A,58 S BRADLEY AVE,SE13,205922.2,1646312.07
127313,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,10:00,I190008817A,3905 CARROLLTON AVE,ND13,194216.78,1668042.35
127314,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,12:00,I190008656A,7923 CORINTHIAN DR,NE61,226479.08,1655799.02
127315,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,13:00,I190009727A,3252 TEAKWOOD DR,SE24,196693.8,1628726.34
127316,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,14:46,I190008544A,3026 CRESTWELL DR,NW53,175013.84,1686977.73
127317,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,15:35,I190008565A,4735 CLAYBURN DR,NW62,167094.67,1694888.76
127318,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,16:33,I190008573A,3443 CARROLLTON AVE,ND13,194221.41,1665122.88
127319,191,BURG-FORCIBLE ENT-RES DAY,2019-01-24T00:00:00.000Z,17:03,I190008588A,3408 WOODFRONT DR,NW22,173316.66,1664988.1
127320,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,06:00,I190009001A,11031 FALL DR,NE62,242737.4,1657719.63
127321,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,06:45,I190008813A,5425 E 21ST ST,NE32,213348.44,1656644.24
127322,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,12:00,I190008962A,4250 VILLAGE PKWY E CIR,NW42,153715.67,1670598.16
127323,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,13:26,I190008878A,3245 S LYONS AVE,SW23,168762.59,1627572.25
127324,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,13:30,I190008898A,5419 BAY HARBOR DR,NW33,158080.36,1676512.48
127325,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,14:00,I190008977A,5314 N MICHIGAN RD,NW51,180359.95,1676254.9
127326,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,15:00,I190009472A,424 N KEALING AVE,NE23,205098.71,1648545.22
127327,191,BURG-FORCIBLE ENT-RES DAY,2019-01-25T00:00:00.000Z,17:00,I190010141A,2156 S EMERSON AVE,SE13,210972.18,1635924.77
127329,191,BURG-FORCIBLE ENT-RES DAY,2019-01-26T00:00:00.000Z,10:20,I190009151A,5027 CASSANDRA LN,SW22,164711.61,1628017.48
127328,191,BURG-FORCIBLE ENT-RES DAY,2019-01-26T00:00:00.000Z,06:50,I190014719A,640 E MICHIGAN ST,DT21,193245.37,1648705.45
127330,191,BURG-FORCIBLE ENT-RES DAY,2019-01-26T00:00:00.000Z,13:04,I190009170A,1211 E GIMBER ST,SE21,195871.93,1631705.06
127331,191,BURG-FORCIBLE ENT-RES DAY,2019-01-26T00:00:00.000Z,15:00,I190009748A,450 N RANDOLPH ST,NE22,198216.22,1648453.94
127332,191,BURG-FORCIBLE ENT-RES DAY,2019-01-26T00:00:00.000Z,16:30,I190009477A,4724 ROUND LAKE RD,ND42,201745.69,1673690.72
127333,191,BURG-FORCIBLE ENT-RES DAY,2019-01-27T00:00:00.000Z,08:00,I190010580A,6501 E 42ND ST,ND31,218320.24,1670006.7
127334,191,BURG-FORCIBLE ENT-RES DAY,2019-01-27T00:00:00.000Z,13:00,I190009929A,619 N TEMPLE AVE,NE22,200990.62,1649705.08
127335,191,BURG-FORCIBLE ENT-RES DAY,2019-01-27T00:00:00.000Z,14:51,I190009511A,1255 S SHEFFIELD AVE,SW12,178766.68,1639801.63
127336,191,BURG-FORCIBLE ENT-RES DAY,2019-01-27T00:00:00.000Z,15:00,I190009548A,836 RIVER AVE,SW12,184245.46,1642333.22
127337,191,BURG-FORCIBLE ENT-RES DAY,2019-01-28T00:00:00.000Z,07:50,I190009696A,4017 N SHERIDAN AVE,ND31,217766.65,1669268.58
127338,191,BURG-FORCIBLE ENT-RES DAY,2019-01-28T00:00:00.000Z,08:35,I190009708A,904 RIVER AVE,SW12,184083.61,1642151.98
127339,191,BURG-FORCIBLE ENT-RES DAY,2019-01-28T00:00:00.000Z,08:36,I190009700A,524 N DEARBORN ST,NE23,203174.11,1649154.43
127340,191,BURG-FORCIBLE ENT-RES DAY,2019-01-28T00:00:00.000Z,11:50,I190012908A,3027 N TALBOTT ST,ND12,191137.29,1662185.19
127341,191,BURG-FORCIBLE ENT-RES DAY,2019-01-29T00:00:00.000Z,09:14,I190010091A,228 S PARKER AVE,SE12,202221.56,1645201.56
127342,191,BURG-FORCIBLE ENT-RES DAY,2019-01-29T00:00:00.000Z,14:54,I190010219A,2441 MARS HILL ST,SW22,170108.24,1632926.66
127343,191,BURG-FORCIBLE ENT-RES DAY,2019-01-29T00:00:00.000Z,16:00,I190010336A,1106 AQUA VISTA DR,NE62,238008.26,1652014.66
127344,191,BURG-FORCIBLE ENT-RES DAY,2019-01-29T00:00:00.000Z,16:00,I190010393A,1449 DAKOTA RIDGE LN,SW51,181992.06,1610851.29
127345,191,BURG-FORCIBLE ENT-RES DAY,2019-01-29T00:00:00.000Z,17:19,I190010269A,4308 VILLAGE BEND LN,NW51,168783.64,1670515.82
127346,191,BURG-FORCIBLE ENT-RES DAY,2019-01-30T00:00:00.000Z,12:11,I190010457A,131 N BRADLEY AVE,NE41,206097.85,1647881.63
127347,191,BURG-FORCIBLE ENT-RES DAY,2019-01-30T00:00:00.000Z,12:50,I190010466A,1602 SPANN AVE,SE11,197223.67,1643267.65
127348,191,BURG-FORCIBLE ENT-RES DAY,2019-01-30T00:00:00.000Z,16:00,I190010674A,3532 E NEW YORK ST,NE23,204652.37,1648044.19
127349,191,BURG-FORCIBLE ENT-RES DAY,2019-01-31T00:00:00.000Z,09:46,I190012006A,1321 WALLACE AVE,NE31,209515.05,1652739.6
127350,191,BURG-FORCIBLE ENT-RES DAY,2019-01-31T00:00:00.000Z,14:10,I190011197A,2857 BROOKSIDE AVE,NE21,202188.89,1655695.09
127351,191,BURG-FORCIBLE ENT-RES DAY,2019-01-31T00:00:00.000Z,15:00,I190010869A,7143 HEATHER RIDGE CT,NW42,153846.02,1663237.59
127352,191,BURG-FORCIBLE ENT-RES DAY,2019-01-31T00:00:00.000Z,15:08,I190010785A,7541 E 35TH ST,NE33,224808.55,1665416.52
127353,192,BURG-FORCIBLE ENT-NON-RES N,2018-12-01T00:00:00.000Z,05:00,I190015892A,3919 LAFAYETTE RD,NW22,167850.59,1667963.01
127354,192,BURG-FORCIBLE ENT-NON-RES N,2018-12-16T00:00:00.000Z,23:21,I190004713A,6105 SOUTHEASTERN AVE,SE14,217270.37,1633681.19
127355,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,00:01,I190009199A,2251 N SHADELAND AVE,NE33,222431.54,1657884.61
127356,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,02:18,I190000059A,3302 W 16TH ST,NW21,174325.71,1653997.23
127357,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,03:05,I190000074A,3021 W 16TH ST,SW11,175580.11,1653863.18
127358,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,03:25,I190000081A,3125 E 10TH ST,NE23,202856.02,1651261.6
127359,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,03:32,I190000086A,3145 W 16TH ST,SW11,174909.54,1653848.06
127360,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,04:11,I190000098A,3404 W 16TH ST,NW21,173673.24,1653993.82
127361,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,04:11,I190000103A,3404 W 16TH ST,NW21,173673.24,1653993.82
127362,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-01T00:00:00.000Z,20:21,I190000313A,2935 BLUFF RD,SW13,187205.13,1630139.8
127363,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-02T00:00:00.000Z,01:00,I190000484A,2950 LAFAYETTE RD,NW21,172679.06,1661482.77
127364,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-02T00:00:00.000Z,03:24,I190000385A,877 E 30TH ST,NE11,194688.34,1661992.67
127365,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-02T00:00:00.000Z,03:30,I190000388A,8404 SOUTHEASTERN AVE,SE41,229441.05,1624969.57
127366,192,BURG-FORCIBLE ENT-NON-RES N,2019-01-03T00:00:00.000Z,21:28,I190001116A,1501 E MICHIGAN ST,NE22,196918.32,1648782.37
