OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,RACE,SEX,CIT_AGE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM
1011,7617,Citizen Complaint,Call For Service,CPCO (Informal),2015-03-16,20:00:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Unfounded,Incident Location,3627,Nobscot,Court,,Indianapolis,3390,Black,Female,,3034,White,Male,29,5,15-628
1012,7617,Citizen Complaint,Call For Service,CPCO (Informal),2015-03-16,20:00:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,,Substandard Performance,Failure to take proper law enforcement action,Unfounded,Incident Location,3627,Nobscot,Court,,Indianapolis,3390,Black,Female,,3034,White,Male,29,5,15-628
1013,7771,Citizen Complaint,Off-Duty Employment,CPCO (Formal),2015-03-21,12:20:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,831,Broadripple ,Avenue,,Indianapolis,3488,Black,Female,40,2591,White,Male,52,15,15-015
1014,7771,Citizen Complaint,Off-Duty Employment,CPCO (Formal),2015-03-21,12:20:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Substandard Performance,Act or ommission contrary to the obectives of the department,Not Sustained,Incident Location,831,Broadripple ,Avenue,,Indianapolis,3488,Black,Female,40,2591,White,Male,52,15,15-015
1015,7771,Citizen Complaint,Off-Duty Employment,CPCO (Formal),2015-03-21,12:20:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Bias-Based Profiling,Race,Not Sustained,Incident Location,831,Broadripple ,Avenue,,Indianapolis,3488,Black,Female,40,2591,White,Male,52,15,15-015
1016,7779,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-27,16:48:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Citizen Interaction,Failure to request a supervisor when a citizen desires to make a complaint,Exonerated,Incident Location,4450,Marcy,Lane,,Indianapolis,3494,White,Female,35,2902,White,Male,33,5,15-016
1017,7779,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-27,16:48:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Neglect of Duty,Failure to take proper law enforcement action,Exonerated,Incident Location,4450,Marcy,Lane,,Indianapolis,3494,White,Female,35,2902,White,Male,33,5,15-016
1018,7780,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-30,16:00:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,DAY SHIFT 2ND RC,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,2119,Shelburne,Drive,,Indianapolis,3495,Black,Female,45,2042,Hispanic,Male,42,11,15-017
1019,7659,Citizen Complaint,Not Applicable,CPCO (Informal),2015-03-20,18:58:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,Vehicle Operation,Improper parking,Exonerated,Incident Location,2230,Stafford,Road,,Plainfield,3419,White,Female,,2876,White,Male,34,5,15-630
1020,7760,Citizen Complaint,Not Applicable,CPCO (Informal),2015-03-31,,RESERVES,PLATOON 1,SQUAD 1,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,3300,Meridian,Street,N,Indianapolis,3482,White,Male,59,775,White,Male,73,42,15-635
1021,7760,Citizen Complaint,Not Applicable,CPCO (Informal),2015-03-31,,RESERVES,PLATOON 1,SQUAD 1,,Citizen Interaction,Indecent or lewd language,Not Sustained,Incident Location,3300,Meridian,Street,N,Indianapolis,3482,White,Male,59,775,White,Male,73,42,15-635
1022,7773,Citizen Complaint,Not Applicable,CPCO (Informal),2015-03-31,12:30:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,Vehicle Operation,Speeding,Not Sustained,Incident Location,1750,Interstate 465 (west),,N,Indianapolis,3491,White,Male,,2876,White,Male,34,5,15-636
1023,7904,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-08,08:45:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Citizen Interaction,Indecent or lewd gestures(s),Unfounded,Incident Location,1500,Interstate 465 (south),,W,Indianapolis,3581,Unknown,Male,,2351,White,Male,41,13,15-629
1024,7904,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-08,08:45:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,Vehicle Operation,Aggressive or unsafe driving,Unfounded,Incident Location,1500,Interstate 465 (south),,W,Indianapolis,3581,Unknown,Male,,2351,White,Male,41,13,15-629
1025,7902,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-03,14:00:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,TRAFFIC ENFORCEMENT SECTION,TRAFFIC ENFORCEMENT UNIT,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,327 ,Meridian,Street,S,Indianapolis,3580,White,Male,,2942,White,Male,50,14,15-637
1026,7962,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-09,08:18:00:000,OPERATIONS DIVISION,EAST DISTRICT,Fto Section,,Vehicle Operation,Texting while driving,Not Sustained,Incident Location,500,Interstate 465 (south),,E,Indianapolis,3622,Unknown,Female,,578,White,Male,46,20,15-640
1027,8028,Citizen Complaint,Not Applicable,CPCO (Formal),2015-03-21,16:00:00:000,OFFICE OF THE CHIEF,COMMUNITY AFFAIRS BRANCH,YOUTH INITIATIVES,SQUAD #2,Breach of Discipline,Conduct detrimental to the efficient operation and/or general discipline of the department,Unfounded,Incident Location,3626,Rock Maple ,Drive,,Indianapolis,3667,Black,Female,53,1468,Black,Female,39,14,15-018
1028,7858,Citizen Complaint,Assisting a Citizen,CPCO (Informal),2015-03-16,08:21:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT 2ND RC,Use of Force,Unreasonable Force (Handcuff Marks),Exonerated,Incident Location,8627,Zephyr,Drive,,Indianapolis,3553,Unknown,Male,49,1361,White,Male,36,13,15-639
1029,7858,Citizen Complaint,Assisting a Citizen,CPCO (Informal),2015-03-16,08:21:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT 2ND RC,Use of Force,Unreasonable Force (Other),Exonerated,Incident Location,8627,Zephyr,Drive,,Indianapolis,3553,Unknown,Male,49,1361,White,Male,36,13,15-639
1030,8086,Citizen Complaint,Call For Service,CPCO (Formal),2015-04-15,15:00:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Citizen Interaction,Failure to make a report when approached by a citizen,Sustained,Incident Location,4912,Lemans,Drive,,Indianapolis,3711,Black,Female,26,3180,White,Male,33,6,15-019
1031,8086,Citizen Complaint,Call For Service,CPCO (Formal),2015-04-15,15:00:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,4912,Lemans,Drive,,Indianapolis,3711,Black,Female,26,530,White,Male,46,18,15-019
1032,8086,Citizen Complaint,Call For Service,CPCO (Formal),2015-04-15,15:00:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Citizen Interaction,Failure to make a report when approached by a citizen,Sustained,Incident Location,4912,Lemans,Drive,,Indianapolis,3711,Black,Female,26,530,White,Male,46,18,15-019
1033,8086,Citizen Complaint,Call For Service,CPCO (Formal),2015-04-15,15:00:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,4912,Lemans,Drive,,Indianapolis,3711,Black,Female,26,530,White,Male,46,18,15-019
1034,8132,Citizen Complaint,Investigation,CPCO (Formal),2015-04-16,10:00:00:000,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIMINAL INTERDICTION SECTION,CRIMINAL INTERDICTION UNIT,Citizen Interaction,"Rude, demeaning, or affronting language",Unfounded,Incident Location,800,Eugene,Street,,Indianapolis,3740,Black,Male,34,502,White,Male,46,21,15-021
1035,8132,Citizen Complaint,Investigation,CPCO (Formal),2015-04-16,10:00:00:000,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIMINAL INTERDICTION SECTION,CRIMINAL INTERDICTION UNIT,Use of Force,Unreasonable Force (Other),Unfounded,Incident Location,800,Eugene,Street,,Indianapolis,3740,Black,Male,34,502,White,Male,46,21,15-021
1036,8132,Citizen Complaint,Investigation,CPCO (Formal),2015-04-16,10:00:00:000,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIMINAL INTERDICTION SECTION,CRIMINAL INTERDICTION UNIT,Bias-Based Profiling,Race,Exonerated,Incident Location,800,Eugene,Street,,Indianapolis,3740,Black,Male,34,502,White,Male,46,21,15-021
1037,8133,Citizen Complaint,Call For Service,CPCO (Formal),2015-04-09,23:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,1101 ,Winfield,Avenue,,Indianapolis,3743,Black,Male,27,1959,White,Male,43,11,15-022
1038,8133,Citizen Complaint,Call For Service,CPCO (Formal),2015-04-09,23:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Search/Seizure,Improper search of a member of the opposite sex,Exonerated,Incident Location,1101 ,Winfield,Avenue,,Indianapolis,3743,Black,Male,27,2524,White,Female,40,7,15-022
1039,8133,Citizen Complaint,Call For Service,CPCO (Formal),2015-04-09,23:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Prisoner Handling/Trans.,Mistreatment of person in custody,Not Sustained,Incident Location,1101 ,Winfield,Avenue,,Indianapolis,3743,Black,Male,27,2524,White,Female,40,7,15-022
1040,8042,Citizen Complaint,Traffic Stop,CPCO (Informal),2015-04-15,10:30:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,550,Interstate 65 (N/B),,N,Indianapolis,3673,White,Male,,816,White,Male,47,16,15-641
1041,8042,Citizen Complaint,Traffic Stop,CPCO (Informal),2015-04-15,10:30:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,Vehicle Operation,Inappropriate uniform or appearance,Not Sustained,Incident Location,550,Interstate 65 (N/B),,N,Indianapolis,3673,White,Male,,816,White,Male,47,16,15-641
1042,8073,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-16,14:00:00:000,CRIMINAL INVESTIGATION DIVISION,DOMESTIC & SEX VIOLENCE,SEX OFFENSE SECTION,SEX OFFENSE UNIT (DAY TACT),Vehicle Operation,Aggressive or unsafe driving,Not Sustained,Incident Location,250,Interstate 70,,W,Indianapolis,3704,Unknown,Male,,293,White,Male,41,14,15-642
1043,8147,Citizen Complaint,Investigation,CPCO (Informal),2015-04-21,11:45:00:000,Operations Division,Southwest District,SW Day Tactical Shift,Accident Investigation,Substandard Performance,Failure to perform duties which maintain satisfactory standards of efficiency/objectives of department.,Exonerated,Incident Location,5251,Kentucky,Avenue,,Indianapolis,3756,White,Female,,2946,White,Male,27,5,15-643
1044,8147,Citizen Complaint,Investigation,CPCO (Informal),2015-04-21,11:45:00:000,Operations Division,Southwest District,SW Day Tactical Shift,Accident Investigation,Citizen Interaction,Failure to Release Property,Exonerated,Incident Location,5251,Kentucky,Avenue,,Indianapolis,3756,White,Female,,2946,White,Male,27,5,15-643
1045,8112,Citizen Complaint,Investigation,CPCO (Formal),2015-03-22,15:00:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,Neglect of Duty,"Failure to make and turn in all reports promptly, accurately, and completely in conformity with department orders.",Exonerated,Incident Location,2300,Stop 11,Road,E,Indianapolis,3723,White,Male,48,2175,White,Male,34,7,15-023
1046,8112,Citizen Complaint,Investigation,CPCO (Formal),2015-03-22,15:00:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,2300,Stop 11,Road,E,Indianapolis,3723,White,Male,48,2175,White,Male,34,7,15-023
1047,8112,Citizen Complaint,Investigation,CPCO (Formal),2015-03-22,15:00:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,Substandard Performance,Act or ommission contrary to the obectives of the department,Not Sustained,Incident Location,2300,Stop 11,Road,E,Indianapolis,3723,White,Male,48,2175,White,Male,34,7,15-023
1048,8239,Citizen Complaint,Investigation,CPCO (Formal),2015-04-22,10:00:00:000,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND ROBBERY,HOMICIDE SECTION (DAY),HOMICIDE UNIT (DAY),Citizen Interaction,"Rude, demeaning, or affronting language",Unfounded,Incident Location,200,Washington ,Street,E,Indianapolis,3820,Black,Female,24,583,Black,Male,47,21,15-024
1049,8145,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-22,20:15:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,Vehicle Operation,Texting while driving,Sustained,Incident Location,2300,Interstate 465 (east),,S,Indianapolis,3755,Unknown,Male,,747,Black,Female,46,21,15-644
1050,8145,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-22,20:15:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,Vehicle Operation,Speeding,Sustained,Incident Location,2300,Interstate 465 (east),,S,Indianapolis,3755,Unknown,Male,,747,Black,Female,46,21,15-644
1051,8148,Citizen Complaint,Arrest,CPCO (Informal),2013-03-11,13:21:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT 2ND RC,Violation of Any Law,Theft,Not Sustained,Incident Location,3746,46th,Street,W,Indianapolis,3757,Black,Male,39,2276,White,Male,51,15,15-645
1052,8225,Citizen Complaint,Not Applicable,CPCO (Informal),2015-04-27,09:24:00:000,Operations Division,Northwest District,Nd Middle Shift,,Vehicle Operation,Aggressive or unsafe driving,Unfounded,Incident Location,5100,Southeastern,Avenue,,Indianapolis,3811,Unknown,Female,,3071,White,Male,36,3,15-647
1053,8266,Citizen Complaint,Call For Service,CPCO (Informal),2015-04-20,14:00:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY TACTICAL SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,3622,48th,Street,W,Indianapolis,3834,Unknown,Female,,827,Hispanic,Female,47,15,15-648
1054,8322,Citizen Complaint,Call For Service,CPCO (Informal),2015-04-28,19:22:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,7515,Washington,Street,E,Indianapolis,3881,White,Female,71,3132,White,Female,31,7,15-651
1055,8322,Citizen Complaint,Call For Service,CPCO (Informal),2015-04-28,19:22:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Citizen Interaction,Failure to make a report when approached by a citizen,Exonerated,Incident Location,7515,Washington,Street,E,Indianapolis,3881,White,Female,71,3132,White,Female,31,7,15-651
1056,8367,Citizen Complaint,Call For Service,CPCO (Informal),2015-03-17,17:00:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,1821,Bancroft,Street,N,Indianapolis,3922,White,Female,35,3060,White,Male,29,5,15-655
1057,8417,Citizen Complaint,Traffic Stop,CPCO (Informal),2015-05-12,07:50:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,3000,Post ,Road,N,Indianapolis,3959,Unknown,Female,,2274,White,Male,64,39,15-656
1058,8419,Citizen Complaint,Not Applicable,CPCO (Informal),2015-05-11,09:10:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,Vehicle Operation,Aggressive or unsafe driving,Not Sustained,Incident Location,2200,Keystone,Avenue,S,Indianapolis,3961,Unknown,male,,2520,Black,Male,38,7,15-657
1059,8421,Citizen Complaint,Off-Duty Employment,CPCO (Informal),2015-05-09,19:15:00:000,RESERVES,PLATOON 1,SQUAD 1,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,8787,Keystone,Crossing,,Indianapolis,3964,Unknown,Female,,3077,White,Male,2,6,15-658
1060,8433,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2015-04-04,15:50:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,3600,Graceland,Avenue,,Indianapolis,3976,Black,Male,52,2546,White,Male,36,7,15-020
1061,8433,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2015-04-04,15:50:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Bias-Based Profiling,Race,Exonerated,Incident Location,3600,Graceland,Avenue,,Indianapolis,3976,Black,Male,52,2546,White,Male,36,7,15-020
1062,8433,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2015-04-04,15:50:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,,Citizen Interaction,Failure to provide name or badge number,Exonerated,Incident Location,3600,Graceland,Avenue,,Indianapolis,3976,Black,Male,52,2546,White,Male,36,7,15-020
1063,8528,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2015-04-06,15:00:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT DAY  TACT FOOT AND BICYCLE,,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,1,Illinois,Street,N,Indianapolis,4030,Black,Male,65,308,White,Male,46,21,15-028
1064,8528,Citizen Complaint,Self-Initiated Activity,CPCO (Formal),2015-04-06,15:00:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT DAY  TACT FOOT AND BICYCLE,,Detention/Arrest,Detention/arrest in violation of Constitutional Rights.,Exonerated,Incident Location,1,Illinois,Street,N,Indianapolis,4030,Black,Male,65,308,White,Male,46,21,15-028
1065,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,235,Meridian,Street,S,Indianapolis,4005,Black,Female,32,2160,White,Male,42,16,15-025
1066,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,4005,Black,Female,32,2160,White,Male,42,16,15-025
1067,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Detention/Arrest,No PC/suspicion for arrest/detention,Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,4005,Black,Female,32,2160,White,Male,42,16,15-025
1068,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,235,Meridian,Street,S,Indianapolis,3789,Black,Female,,2160,White,Male,42,16,15-025
1069,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,3789,Black,Female,,2160,White,Male,42,16,15-025
1070,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Detention/Arrest,No PC/suspicion for arrest/detention,Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,3789,Black,Female,,2160,White,Male,42,16,15-025
1071,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,235,Meridian,Street,S,Indianapolis,3987,Black,Male,24,2160,White,Male,42,16,15-025
1072,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,3987,Black,Male,24,2160,White,Male,42,16,15-025
1073,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Detention/Arrest,No PC/suspicion for arrest/detention,Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,3987,Black,Male,24,2160,White,Male,42,16,15-025
1074,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,235,Meridian,Street,S,Indianapolis,4005,Black,Female,32,2160,White,Male,42,16,15-026
1075,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,4005,Black,Female,32,2160,White,Male,42,16,15-026
1076,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Detention/Arrest,No PC/suspicion for arrest/detention,Exonerated,Incident Location,235,Meridian,Street,S,Indianapolis,4005,Black,Female,32,2160,White,Male,42,16,15-026
1077,8474,Citizen Complaint,Arrest,CPCO (Formal),2015-04-12,01:30:00:000,OPERATIONS DIVISION,DOWNTOWN  DISTRICT,DT LATE TACT FOOT AND BICYCLE,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,235,Meridian,Street,S,Indianapolis,3789,Black,Female,,2160,White,Male,42,16,15-026
