INCNUM,OFF_NUM,UOF_FORCE_TYPE,UOF_REASON,CIT_ARRESTED,CITCHARGE_TYPE,DISPOSITION,CIT_WEAPON_TYPE,OFF_SEX,CIT_SEX,OFF_RACE,OFF_AGE,CIT_AGE,YMD_TM,OBJECTID,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,FULL_ADD,SERVICE_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CIT_NUM,CIT_RACE,CIT_COND_TYPE,OFF_YR_EMPLOY,OFF_COND_TYPE,OCCURRED_WEEK_DAY,OCCURRED_HOUR,OCCURRED_QUARTER,OCCURRED_YEAR,lon,lat
46429,3687,PHYSICAL-WEIGHT LEVERAGE,RESISTING ARREST,NO,BATTERY (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,31,2020-04-01T22:00:00Z,3800,2020-04-01,22:00:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,"7073 W WASHINGTON STREET, INDIANAPOLIS, IN",ARREST,NO,NO,NO,NO,2316,WHITE,NO INJURIES NOTED OR VISIBLE,999999,UNREPORTED,Wed,22,2,2020,-86.2855629,39.74162
49891,3918,PHYSICAL-WEIGHT LEVERAGE,NON-COMPLIANT,YES,WARRANT ARREST,IN COMPLIANCE,UNREPORTED,FEMALE,MALE,WHITE,999999,32,2020-08-23T21:40:00Z,3917,2020-08-23,21:40:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,"2100 N SHADELAND AVENUE, INDIANAPOLIS, IN",CALL FOR SERVICE,NO,YES,YES,NO,3139,WHITE,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Sun,21,3,2020,-86.04569839999999,39.7964291
47575,3237,PHYSICAL-WEIGHT LEVERAGE,RESISTING ARREST,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,46,2020-05-27T16:39:00Z,4047,2020-05-27,16:39:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,"6880 W WASHINGTON STREET, INDIANAPOLIS, IN",ARREST,NO,YES,NO,NO,2391,WHITE,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Wed,16,2,2020,-86.281915,39.7437551
46148,3290,PHYSICAL-ELBOW STRIKE,FLEEING,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,MALE,MALE,BLACK,999999,27,2020-03-17T01:31:00Z,4182,2020-03-17,01:31:00,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE SHIFT,UNREPORTED,"320 N NEW JERSEY STREET, INDIANAPOLIS, IN",ASSISTING OTHER AGENCY,NO,NO,NO,NO,3859,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Tue,1,1,2020,-86.15201479999999,39.7721837
6344,2087,TASER,ASSAULTING CITIZEN(S),YES,BATTERY (M),IN COMPLIANCE,UNREPORTED,MALE,MALE,BLACK,41,31,2015-01-10T02:55:00Z,4418,2015-01-10,02:55:00,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,"250 S MERIDIAN ST, INDIANAPOLIS, IN",ARREST,NO,NO,NO,NO,2475,BLACK,NO INJURIES NOTED OR VISIBLE,10,UNREPORTED,Sat,2,1,2015,-86.15844969999999,39.7631219
51271,3564,LESS LETHAL-TASER,RESISTING ARREST,YES,OPERATING A VEHICLE WHILE INTOXICATED (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,33,2020-10-08T14:22:00Z,4703,2020-10-08,14:22:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,"7000 N GRANDVIEW DRIVE, INDIANAPOLIS, IN",TRAFFIC STOP,YES,YES,YES,NO,2625,BLACK,MINOR SCRAPES,999999,COMPLAINT OF PAIN,Thu,14,4,2020,-86.18866729999999,39.8813965
52071,3674,PHYSICAL-WEIGHT LEVERAGE,RESISTING ARREST,YES,IMMEDIATE DETENTION,UNREPORTED,UNREPORTED,MALE,MALE,WHITE,999999,36,2020-11-05T03:45:00Z,5080,2020-11-05,03:45:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,"2200   SHELBY STREET, INDIANAPOLIS, IN",CALL FOR SERVICE,NO,NO,NO,NO,3826,WHITE,NO INJURIES NOTED OR VISIBLE,999999,UNREPORTED,Thu,3,4,2020,-86.1397221,39.737483
52069,3762,PHYSICAL-HANDCUFFING,COMBATIVE SUSPECT,YES,IMMEDIATE DETENTION,UNREPORTED,UNREPORTED,MALE,MALE,WHITE,999999,36,2020-11-05T03:57:00Z,5156,2020-11-05,03:57:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,"2215   SHELBY STREET STREET, INDIANAPOLIS, IN",INVESTIGATION,NO,NO,NO,NO,3826,WHITE,UNREPORTED,999999,UNREPORTED,Thu,3,4,2020,-86.1389937,39.7370376
48211,3552,LESS LETHAL-CS FOGGER,COMBATIVE SUSPECT,NO,UNREPORTED,IN COMPLIANCE,UNREPORTED,MALE,MALE,HISPANIC,999999,36,2020-06-25T01:00:00Z,5224,2020-06-25,01:00:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,"6308   GUILFORD AVENUE, INDIANAPOLIS, IN",INVESTIGATION,NO,NO,NO,NO,2650,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Thu,1,2,2020,-86.1431099,39.8700957
51703,3840,LETHAL-HANDGUN,ASSAULTING CITIZEN(S),YES,POINTING A FIREARM (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,HISPANIC,999999,37,2020-10-26T21:31:00Z,5550,2020-10-26,21:31:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,"2111   RANDALL ROAD, INDIANAPOLIS, IN",ARREST,NO,NO,NO,NO,2850,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Mon,21,4,2020,-86.1249047,39.8888331
51607,3512,PHYSICAL-TAKE DOWN,RESISTING ARREST,YES,IMMEDIATE DETENTION,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,33,2020-10-22T05:30:00Z,5576,2020-10-22,05:30:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,"3700 N MERIDEAN STREET, INDIANAPOLIS, IN",CALL FOR SERVICE,YES,YES,NO,NO,3718,BLACK,MINOR SCRAPES,999999,NO INJURIES NOTED OR VISIBLE,Thu,5,4,2020,-86.1568932,39.8222047
50560,3056,PHYSICAL-FIST STRIKE,ASSAULTING OFFICER(S),YES,BATTERY (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,BLACK,999999,33,2020-09-09T18:48:00Z,5888,2020-09-09,18:48:00,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT MIDDLE SHIFT,UNREPORTED,"40 E ST CLAIR STREET, INDIANAPOLIS, IN",CALL FOR SERVICE,YES,YES,NO,NO,3718,BLACK,LACERATION,999999,NO INJURIES NOTED OR VISIBLE,Wed,18,3,2020,-86.1567606,39.778168
53035,3569,LESS LETHAL-BEAN BAG,NON-COMPLIANT,NO,DOMESTIC BATTERY (F),UNREPORTED,UNREPORTED,MALE,MALE,WHITE,999999,36,2020-12-01T14:01:00Z,5994,2020-12-01,14:01:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,"7815   HARBOUR ISLE NA, INDIANAPOLIS, IN",ARREST,NO,NO,NO,NO,3496,WHITE,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Tue,14,4,2020,-86.1070163,39.896366
45350,3250,PHYSICAL-TAKE DOWN,ASSAULTING OFFICER(S),YES,BATTERY BY BODILY WASTE,IN COMPLIANCE,UNREPORTED,MALE,FEMALE,WHITE,999999,999999,2020-02-15T04:30:00Z,6126,2020-02-15,04:30:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,"3731 N SHADELAND AVENUE, INDIANAPOLIS, IN",ARREST,YES,NO,NO,NO,3637,BLACK,MINOR SCRAPES,999999,NO INJURIES NOTED OR VISIBLE,Sat,4,1,2020,-86.0441171,39.8243394
50741,3608,PHYSICAL-OTHER,NON-COMPLIANT,YES,IMMEDIATE DETENTION,IN COMPLIANCE,UNREPORTED,MALE,MALE,BLACK,999999,26,2020-09-18T18:53:00Z,6566,2020-09-18,18:53:00,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,20TH RECRUIT CLASS,"3528   KINNEAR AVENUE, INDIANAPOLIS, IN",ARREST,NO,YES,NO,NO,3436,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Fri,18,3,2020,-86.1272513,39.8207738
49331,4046,PHYSICAL-HANDCUFFING,NON-COMPLIANT,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,FEMALE,MALE,WHITE,999999,29,2020-08-06T12:30:00Z,6796,2020-08-06,12:30:00,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,20TH RECRUIT CLASS,"1001 N RURAL AVENUE, INDIANAPOLIS, IN",ARREST,NO,NO,NO,NO,3847,BLACK,COMPLAINT OF PAIN,999999,NO INJURIES NOTED OR VISIBLE,Thu,12,3,2020,-86.1160937,39.78162409999999
46903,3071,LESS LETHAL-TASER,NON-COMPLIANT,YES,RESISTING LAW ENFORCEMENT (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,41,2020-04-23T14:05:00Z,7191,2020-04-23,14:05:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,"1853 N WARMAN AVENUE, INDIANAPOLIS, IN",ARREST,YES,YES,NO,NO,4527,BLACK,MINOR BLEEDING,999999,NO INJURIES NOTED OR VISIBLE,Thu,14,2,2020,-86.206141,39.7916058
47585,3928,PHYSICAL-KNEE STRIKE,NON-COMPLIANT,YES,INTERFERING WITH REPORTING A CRIME,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,29,2020-05-28T00:44:00Z,7261,2020-05-28,00:44:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,"3510 N PENNSYLVANIA STREET, INDIANAPOLIS, IN",ARREST,NO,YES,NO,NO,4313,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Thu,0,2,2020,-86.1552641,39.8193543
49880,3628,PHYSICAL-WEIGHT LEVERAGE,RESISTING ARREST,YES,RESISTING LAW ENFORCEMENT (F),IN COMPLIANCE,UNREPORTED,MALE,FEMALE,WHITE,999999,48,2020-08-21T10:45:00Z,7389,2020-08-21,10:45:00,OPERATIONS DIVISION,EAST DISTRICT,ED DAY SHIFT,ED DAY SHIFT,"5023 E 56TH STREET, INDIANAPOLIS, IN",ARREST,YES,YES,YES,NO,4399,BLACK,LACERATION,999999,NO INJURIES NOTED OR VISIBLE,Fri,10,3,2020,-86.08508289999999,39.854732
51745,3326,UNREPORTED,FELONY STOP/APPREHENSION,YES,POSSESSION OF COCAINE (F),IN COMPLIANCE,UNREPORTED,MALE,FEMALE,BLACK,999999,37,2020-10-27T13:00:00Z,7440,2020-10-27,13:00:00,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIME GUN INTELLIGENCE CENTER,CGIC SQUAD 2,"3800 N LLINOIS STREET, INDIANAPOLIS, IN",TRAFFIC STOP,NO,NO,NO,NO,4517,BLACK,UNREPORTED,999999,UNREPORTED,Tue,13,4,2020,-86.1592127,39.824924
51734,2850,LETHAL-HANDGUN,FELONY STOP/APPREHENSION,YES,POSSESSION OF COCAINE (F),IN COMPLIANCE,UNREPORTED,MALE,FEMALE,WHITE,999999,37,2020-10-27T12:55:00Z,7441,2020-10-27,12:55:00,OPERATIONS DIVISION,EAST DISTRICT,NEIGHBORHOOD IMPACT,FLEX TEAM,"37 W 38TH STREET, INDIANAPOLIS, IN",INVESTIGATION,NO,NO,NO,NO,4517,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Tue,12,4,2020,-86.15844419999999,39.824438
