OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_YEAR,OCCURRED_MONTH,OCCURRED_DAY,OCCURRED_TM,OCCURRED_HOUR,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,CITY,CITNUM,CIT_RACE,CIT_SEX,CIT_AGE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM,OCCURRED_DATE_AND_TIME
1011,7617,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2015-03-16,2015,3,16,20:00:00:000,20,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3390,BLACK,FEMALE,99999,3034,WHITE,MALE,29,5,15-628,2015-03-17T00:00:00Z
1012,7617,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2015-03-16,2015,3,16,20:00:00:000,20,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,FAILURE TO TAKE PROPER LAW ENFORCEMENT ACTION,UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3390,BLACK,FEMALE,99999,3034,WHITE,MALE,29,5,15-628,2015-03-17T00:00:00Z
1013,7771,CITIZEN COMPLAINT,OFF-DUTY EMPLOYMENT,CPCO (FORMAL),2015-03-21,2015,3,21,12:20:00:000,12,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3488,BLACK,FEMALE,40,2591,WHITE,MALE,52,15,15-015,2015-03-21T16:20:00Z
1014,7771,CITIZEN COMPLAINT,OFF-DUTY EMPLOYMENT,CPCO (FORMAL),2015-03-21,2015,3,21,12:20:00:000,12,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,ACT OR OMMISSION CONTRARY TO THE OBECTIVES OF THE DEPARTMENT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3488,BLACK,FEMALE,40,2591,WHITE,MALE,52,15,15-015,2015-03-21T16:20:00Z
1015,7771,CITIZEN COMPLAINT,OFF-DUTY EMPLOYMENT,CPCO (FORMAL),2015-03-21,2015,3,21,12:20:00:000,12,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,BIAS-BASED PROFILING,RACE,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3488,BLACK,FEMALE,40,2591,WHITE,MALE,52,15,15-015,2015-03-21T16:20:00Z
1016,7779,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-27,2015,3,27,16:48:00:000,16,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,FAILURE TO REQUEST A SUPERVISOR WHEN A CITIZEN DESIRES TO MAKE A COMPLAINT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3494,WHITE,FEMALE,35,2902,WHITE,MALE,33,5,15-016,2015-03-27T20:48:00Z
1017,7779,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-27,2015,3,27,16:48:00:000,16,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,NEGLECT OF DUTY,FAILURE TO TAKE PROPER LAW ENFORCEMENT ACTION,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3494,WHITE,FEMALE,35,2902,WHITE,MALE,33,5,15-016,2015-03-27T20:48:00Z
1018,7780,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-30,2015,3,30,16:00:00:000,16,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,DAY SHIFT 2ND RC,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3495,BLACK,FEMALE,45,2042,HISPANIC,MALE,42,11,15-017,2015-03-30T20:00:00Z
1019,7659,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-03-20,2015,3,20,18:58:00:000,18,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,VEHICLE OPERATION,IMPROPER PARKING,EXONERATED,INCIDENT LOCATION,PLAINFIELD,3419,WHITE,FEMALE,99999,2876,WHITE,MALE,34,5,15-630,2015-03-20T22:58:00Z
1020,7760,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-03-31,2015,3,31,01:02:03:004,1,RESERVES,PLATOON 1,SQUAD 1,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3482,WHITE,MALE,59,775,WHITE,MALE,73,42,15-635,2015-03-31T05:02:03Z
1021,7760,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-03-31,2015,3,31,01:02:03:004,1,RESERVES,PLATOON 1,SQUAD 1,UNREPORTED,CITIZEN INTERACTION,INDECENT OR LEWD LANGUAGE,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3482,WHITE,MALE,59,775,WHITE,MALE,73,42,15-635,2015-03-31T05:02:03Z
1022,7773,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-03-31,2015,3,31,12:30:00:000,12,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,VEHICLE OPERATION,SPEEDING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3491,WHITE,MALE,99999,2876,WHITE,MALE,34,5,15-636,2015-03-31T16:30:00Z
1023,7904,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-08,2015,4,8,08:45:00:000,8,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,CITIZEN INTERACTION,INDECENT OR LEWD GESTURES(S),UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3581,UNREPORTED,MALE,99999,2351,WHITE,MALE,41,13,15-629,2015-04-08T12:45:00Z
1024,7904,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-08,2015,4,8,08:45:00:000,8,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3581,UNREPORTED,MALE,99999,2351,WHITE,MALE,41,13,15-629,2015-04-08T12:45:00Z
1025,7902,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-03,2015,4,3,14:00:00:000,14,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,TRAFFIC ENFORCEMENT SECTION,TRAFFIC ENFORCEMENT UNIT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3580,WHITE,MALE,99999,2942,WHITE,MALE,50,14,15-637,2015-04-03T18:00:00Z
1026,7962,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-09,2015,4,9,08:18:00:000,8,OPERATIONS DIVISION,EAST DISTRICT,FTO SECTION,UNREPORTED,VEHICLE OPERATION,TEXTING WHILE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3622,UNREPORTED,FEMALE,99999,578,WHITE,MALE,46,20,15-640,2015-04-09T12:18:00Z
1027,8028,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (FORMAL),2015-03-21,2015,3,21,16:00:00:000,16,OFFICE OF THE CHIEF,COMMUNITY AFFAIRS BRANCH,YOUTH INITIATIVES,SQUAD #2,BREACH OF DISCIPLINE,CONDUCT DETRIMENTAL TO THE EFFICIENT OPERATION AND/OR GENERAL DISCIPLINE OF THE DEPARTMENT,UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3667,BLACK,FEMALE,53,1468,BLACK,FEMALE,39,14,15-018,2015-03-21T20:00:00Z
1028,7858,CITIZEN COMPLAINT,ASSISTING A CITIZEN,CPCO (INFORMAL),2015-03-16,2015,3,16,08:21:00:000,8,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT 2ND RC,USE OF FORCE,UNREASONABLE FORCE (HANDCUFF MARKS),EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3553,UNREPORTED,MALE,49,1361,WHITE,MALE,36,13,15-639,2015-03-16T12:21:00Z
1029,7858,CITIZEN COMPLAINT,ASSISTING A CITIZEN,CPCO (INFORMAL),2015-03-16,2015,3,16,08:21:00:000,8,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT 2ND RC,USE OF FORCE,UNREASONABLE FORCE (OTHER),EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3553,UNREPORTED,MALE,49,1361,WHITE,MALE,36,13,15-639,2015-03-16T12:21:00Z
1030,8086,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-04-15,2015,4,15,15:00:00:000,15,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,FAILURE TO MAKE A REPORT WHEN APPROACHED BY A CITIZEN,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3711,BLACK,FEMALE,26,3180,WHITE,MALE,33,6,15-019,2015-04-15T19:00:00Z
1031,8086,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-04-15,2015,4,15,15:00:00:000,15,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3711,BLACK,FEMALE,26,530,WHITE,MALE,46,18,15-019,2015-04-15T19:00:00Z
1032,8086,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-04-15,2015,4,15,15:00:00:000,15,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,FAILURE TO MAKE A REPORT WHEN APPROACHED BY A CITIZEN,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3711,BLACK,FEMALE,26,530,WHITE,MALE,46,18,15-019,2015-04-15T19:00:00Z
1033,8086,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-04-15,2015,4,15,15:00:00:000,15,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO OBEY ALL ORDERS, RULES, REGULATIONS, POLICIES, AND SOPS",SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3711,BLACK,FEMALE,26,530,WHITE,MALE,46,18,15-019,2015-04-15T19:00:00Z
1034,8132,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2015-04-16,2015,4,16,10:00:00:000,10,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIMINAL INTERDICTION SECTION,CRIMINAL INTERDICTION UNIT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3740,BLACK,MALE,34,502,WHITE,MALE,46,21,15-021,2015-04-16T14:00:00Z
1035,8132,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2015-04-16,2015,4,16,10:00:00:000,10,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIMINAL INTERDICTION SECTION,CRIMINAL INTERDICTION UNIT,USE OF FORCE,UNREASONABLE FORCE (OTHER),UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3740,BLACK,MALE,34,502,WHITE,MALE,46,21,15-021,2015-04-16T14:00:00Z
1036,8132,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2015-04-16,2015,4,16,10:00:00:000,10,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIMINAL INTERDICTION SECTION,CRIMINAL INTERDICTION UNIT,BIAS-BASED PROFILING,RACE,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3740,BLACK,MALE,34,502,WHITE,MALE,46,21,15-021,2015-04-16T14:00:00Z
1037,8133,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-04-09,2015,4,9,23:00:00:000,23,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,USE OF FORCE,"UNREASONABLE FORCE (HANDS, FISTS, FEET)",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3743,BLACK,MALE,27,1959,WHITE,MALE,43,11,15-022,2015-04-10T03:00:00Z
1038,8133,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-04-09,2015,4,9,23:00:00:000,23,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,SEARCH/SEIZURE,IMPROPER SEARCH OF A MEMBER OF THE OPPOSITE SEX,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3743,BLACK,MALE,27,2524,WHITE,FEMALE,40,7,15-022,2015-04-10T03:00:00Z
1039,8133,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-04-09,2015,4,9,23:00:00:000,23,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,PRISONER HANDLING/TRANS.,MISTREATMENT OF PERSON IN CUSTODY,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3743,BLACK,MALE,27,2524,WHITE,FEMALE,40,7,15-022,2015-04-10T03:00:00Z
1040,8042,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2015-04-15,2015,4,15,10:30:00:000,10,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3673,WHITE,MALE,99999,816,WHITE,MALE,47,16,15-641,2015-04-15T14:30:00Z
1041,8042,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2015-04-15,2015,4,15,10:30:00:000,10,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,VEHICLE OPERATION,INAPPROPRIATE UNIFORM OR APPEARANCE,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3673,WHITE,MALE,99999,816,WHITE,MALE,47,16,15-641,2015-04-15T14:30:00Z
1042,8073,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-16,2015,4,16,14:00:00:000,14,CRIMINAL INVESTIGATION DIVISION,DOMESTIC & SEX VIOLENCE,SEX OFFENSE SECTION,SEX OFFENSE UNIT (DAY TACT),VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3704,UNREPORTED,MALE,99999,293,WHITE,MALE,41,14,15-642,2015-04-16T18:00:00Z
1043,8147,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2015-04-21,2015,4,21,11:45:00:000,11,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY TACTICAL SHIFT,ACCIDENT INVESTIGATION,SUBSTANDARD PERFORMANCE,FAILURE TO PERFORM DUTIES WHICH MAINTAIN SATISFACTORY STANDARDS OF EFFICIENCY/OBJECTIVES OF DEPARTMENT.,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3756,WHITE,FEMALE,99999,2946,WHITE,MALE,27,5,15-643,2015-04-21T15:45:00Z
1044,8147,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2015-04-21,2015,4,21,11:45:00:000,11,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY TACTICAL SHIFT,ACCIDENT INVESTIGATION,CITIZEN INTERACTION,FAILURE TO RELEASE PROPERTY,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3756,WHITE,FEMALE,99999,2946,WHITE,MALE,27,5,15-643,2015-04-21T15:45:00Z
1045,8112,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2015-03-22,2015,3,22,15:00:00:000,15,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,NEGLECT OF DUTY,"FAILURE TO MAKE AND TURN IN ALL REPORTS PROMPTLY, ACCURATELY, AND COMPLETELY IN CONFORMITY WITH DEPARTMENT ORDERS.",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3723,WHITE,MALE,48,2175,WHITE,MALE,34,7,15-023,2015-03-22T19:00:00Z
1046,8112,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2015-03-22,2015,3,22,15:00:00:000,15,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3723,WHITE,MALE,48,2175,WHITE,MALE,34,7,15-023,2015-03-22T19:00:00Z
1047,8112,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2015-03-22,2015,3,22,15:00:00:000,15,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,ACT OR OMMISSION CONTRARY TO THE OBECTIVES OF THE DEPARTMENT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3723,WHITE,MALE,48,2175,WHITE,MALE,34,7,15-023,2015-03-22T19:00:00Z
1048,8239,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2015-04-22,2015,4,22,10:00:00:000,10,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND ROBBERY,HOMICIDE SECTION (DAY),HOMICIDE UNIT (DAY),CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3820,BLACK,FEMALE,24,583,BLACK,MALE,47,21,15-024,2015-04-22T14:00:00Z
1049,8145,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-22,2015,4,22,20:15:00:000,20,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,VEHICLE OPERATION,TEXTING WHILE DRIVING,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3755,UNREPORTED,MALE,99999,747,BLACK,FEMALE,46,21,15-644,2015-04-23T00:15:00Z
1050,8145,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-22,2015,4,22,20:15:00:000,20,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,VEHICLE OPERATION,SPEEDING,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3755,UNREPORTED,MALE,99999,747,BLACK,FEMALE,46,21,15-644,2015-04-23T00:15:00Z
1051,8148,CITIZEN COMPLAINT,ARREST,CPCO (INFORMAL),2013-03-11,2013,3,11,13:21:00:000,13,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT 2ND RC,VIOLATION OF ANY LAW,THEFT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3757,BLACK,MALE,39,2276,WHITE,MALE,51,15,15-645,2013-03-11T17:21:00Z
1052,8225,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-04-27,2015,4,27,09:24:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,ND MIDDLE SHIFT,UNREPORTED,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,3811,UNREPORTED,FEMALE,99999,3071,WHITE,MALE,36,3,15-647,2015-04-27T13:24:00Z
1053,8266,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2015-04-20,2015,4,20,14:00:00:000,14,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY TACTICAL SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3834,UNREPORTED,FEMALE,99999,827,HISPANIC,FEMALE,47,15,15-648,2015-04-20T18:00:00Z
1054,8322,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2015-04-28,2015,4,28,19:22:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3881,WHITE,FEMALE,71,3132,WHITE,FEMALE,31,7,15-651,2015-04-28T23:22:00Z
1055,8322,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2015-04-28,2015,4,28,19:22:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,FAILURE TO MAKE A REPORT WHEN APPROACHED BY A CITIZEN,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3881,WHITE,FEMALE,71,3132,WHITE,FEMALE,31,7,15-651,2015-04-28T23:22:00Z
